Longitude,Latitude,Deep
-84.749316,31.171896,11.5
-84.74935,31.171889,12.4
-84.749383,31.171883,11.2
-84.749416,31.171877,11.7
-84.74945,31.171872,14.5
-84.749483,31.171866,11.9
-84.749516,31.17186,12.3
-84.74955,31.171855,10
-84.749583,31.171848,10
-84.749616,31.171842,8.9
-84.749649,31.171836,8.6
-84.749683,31.17183,8.4
-84.749716,31.171823,8.7
-84.749749,31.171817,9.4
-84.749782,31.17181,10.6
-84.749816,31.171804,10.3
-84.749849,31.171798,10.3
-84.749882,31.171792,8.4
-84.749916,31.171786,7.5
-84.749949,31.17178,6.8
-84.749981,31.171774,4.9
-84.750014,31.171767,4.4
-84.750047,31.171761,3.5
-84.75008,31.171754,5.6
-84.750113,31.171748,7.3
-84.750146,31.171741,10.1
-84.750179,31.171735,9.9
-84.750213,31.171728,10.3
-84.750246,31.171721,9.7
-84.750278,31.171715,5.8
-84.750311,31.171708,6.3
-84.750345,31.171701,2.3
-84.750378,31.171696,6.6
-84.750411,31.17169,4
-84.750445,31.171684,4.9
-84.750478,31.171678,4.8
-84.750511,31.171671,5.3
-84.750545,31.171664,5.9
-84.750579,31.171659,4
-84.750612,31.171654,2.9
-84.750644,31.171647,3.1
-84.750677,31.17164,4.4
-84.750709,31.171634,5.9
-84.750742,31.171628,6
-84.750776,31.171622,8.8
-84.750809,31.171615,8.2
-84.750842,31.171609,3.6
-84.750875,31.171602,7.1
-84.750909,31.171596,3.9
-84.750942,31.171589,8.8
-84.750975,31.171582,7.8
-84.751007,31.171577,5.5
-84.75104,31.17157,5.9
-84.751073,31.171565,3.8
-84.751105,31.171559,2.9
-84.751138,31.171553,3.2
-84.751171,31.171548,3.8
-84.751204,31.171541,2.8
-84.751237,31.171535,3.1
-84.75127,31.171528,2.4
-84.751303,31.171522,3
-84.751337,31.171517,2.6
-84.751371,31.171512,2.5
-84.751403,31.171505,3.3
-84.751435,31.171498,4.2
-84.751467,31.171491,2
-84.7515,31.171485,3.6
-84.751532,31.171478,4.5
-84.751565,31.171472,4.3
-84.751597,31.171466,4.1
-84.75163,31.171459,5.1
-84.751663,31.171453,4.3
-84.751695,31.171447,6
-84.751728,31.171441,5.5
-84.75176,31.171435,5.7
-84.751792,31.171429,6
-84.751824,31.171422,5.6
-84.751857,31.171416,5.2
-84.75189,31.17141,6.8
-84.751923,31.171404,8
-84.751956,31.171398,9.1
-84.751989,31.171392,10.3
-84.752021,31.171385,9
-84.752053,31.171379,11.3
-84.752086,31.171372,13.9
-84.752118,31.171366,13.5
-84.752151,31.17136,11.7
-84.752184,31.171354,7.3
-84.752217,31.171348,6.1
-84.75225,31.171342,5.2
-84.752283,31.171334,7.1
-84.752315,31.171326,14.3
-84.752348,31.17132,14.9
-84.75238,31.171314,12.1
-84.752414,31.171309,15.2
-84.752447,31.171304,14.3
-84.75248,31.171298,16.2
-84.752512,31.171292,8.6
-84.752545,31.171286,12
-84.752579,31.171281,9.8
-84.752612,31.171275,10.2
-84.752645,31.171268,11.5
-84.752678,31.171262,5.8
-84.752712,31.171256,4.4
-84.752745,31.17125,4.9
-84.752778,31.171245,5.1
-84.752812,31.171238,3.7
-84.752846,31.171232,4.2
-84.752878,31.171226,4.6
-84.752909,31.171221,3.2
-84.752938,31.171215,7.2
-84.752966,31.171209,7.7
-84.752991,31.171204,8.8
-84.753015,31.171198,3.5
-84.753038,31.171192,3.3
-84.753061,31.171188,2.3
-84.753086,31.171184,8.3
-84.75311,31.171181,7.1
-84.753135,31.171178,1.2
-84.753159,31.171174,1.3
-84.753183,31.171169,6.9
-84.753206,31.171163,2.1
-84.75323,31.171158,3.5
-84.753254,31.171155,3.7
-84.753277,31.171151,3.3
-84.753301,31.171146,3.3
-84.753325,31.171141,5.7
-84.753648,31.17122,1.6
-84.75364,31.171223,8.2
-84.75363,31.171227,8
-84.753615,31.171231,8.4
-84.753594,31.171236,6.5
-84.753567,31.171242,5.3
-84.753538,31.171248,6
-84.753509,31.171253,8.2
-84.75348,31.171257,5.5
-84.75345,31.171263,6.3
-84.753421,31.171267,9.3
-84.753391,31.171272,9.2
-84.753362,31.171277,8.2
-84.753333,31.171284,7.7
-84.753304,31.17129,7.2
-84.753275,31.171296,5
-84.753245,31.171301,3.9
-84.753216,31.171308,5
-84.753187,31.171315,1.5
-84.753158,31.171321,4.8
-84.753129,31.171326,5.4
-84.7531,31.171331,7.2
-84.753071,31.171337,8.4
-84.753041,31.171343,4.5
-84.753011,31.171349,8.9
-84.752981,31.171354,9.9
-84.75295,31.171359,8.9
-84.752918,31.171365,8.1
-84.752887,31.171372,11
-84.752855,31.171378,11.5
-84.752824,31.171384,4.8
-84.752793,31.171391,3.2
-84.752762,31.171397,4.4
-84.752731,31.171403,5.5
-84.7527,31.171409,4.5
-84.752669,31.171414,6.7
-84.752637,31.171419,7.6
-84.752606,31.171424,11.4
-84.752574,31.171429,6.9
-84.752542,31.171435,11
-84.75251,31.171441,5.8
-84.752478,31.171447,3.4
-84.752446,31.171453,5.2
-84.752414,31.17146,12.7
-84.752383,31.171465,7.7
-84.752351,31.171471,9.6
-84.75232,31.171476,13.2
-84.752288,31.171482,10
-84.752256,31.171488,14.1
-84.752225,31.171494,2.9
-84.752193,31.1715,6.2
-84.752162,31.171506,5.6
-84.752131,31.171512,8.2
-84.7521,31.171518,6.1
-84.752069,31.171523,7.8
-84.752038,31.171529,10.3
-84.752007,31.171536,9.7
-84.751976,31.171543,8.7
-84.751946,31.171549,8.5
-84.751915,31.171555,7.9
-84.751884,31.171561,6.9
-84.751853,31.171566,7.7
-84.751822,31.171571,7.7
-84.751791,31.171577,7.4
-84.75176,31.171582,5.6
-84.751729,31.171589,6.8
-84.751698,31.171594,6.7
-84.751667,31.171599,5.2
-84.751635,31.171605,4
-84.751604,31.171611,6.1
-84.751574,31.171616,3.6
-84.751543,31.171623,4.5
-84.751512,31.171629,3.7
-84.751481,31.171635,7.3
-84.75145,31.171642,6.5
-84.751419,31.171648,7.9
-84.751388,31.171653,3
-84.751356,31.171659,1.5
-84.751325,31.171665,1.8
-84.751294,31.171671,4.9
-84.751263,31.171677,9.5
-84.751232,31.171683,2.8
-84.751202,31.171689,3.6
-84.751173,31.171695,6.4
-84.751144,31.171704,9.7
-84.751113,31.171709,8.6
-84.751081,31.171713,9.5
-84.75105,31.171717,10
-84.751019,31.171722,8.6
-84.750989,31.171728,6.2
-84.750959,31.171734,6.7
-84.750928,31.171741,5.8
-84.750897,31.171747,6.3
-84.750866,31.171753,6.4
-84.750835,31.171758,5.7
-84.750804,31.171764,6.1
-84.750773,31.171769,5.4
-84.750742,31.171775,7.1
-84.750711,31.171782,8.6
-84.750681,31.171788,9.5
-84.75065,31.171793,10.7
-84.75062,31.171799,9.2
-84.750589,31.171805,8.4
-84.750559,31.171811,8.7
-84.750528,31.171817,8.3
-84.750497,31.171824,10.5
-84.750466,31.171829,9
-84.750435,31.171835,9.2
-84.750404,31.17184,10
-84.750373,31.171846,10.6
-84.750342,31.171851,11.3
-84.750312,31.171856,11.3
-84.750281,31.171862,13.3
-84.75025,31.171868,12.7
-84.750219,31.171874,10
-84.750188,31.17188,14.8
-84.750157,31.171886,11.4
-84.750126,31.171891,9.8
-84.750096,31.171897,9.8
-84.750065,31.171903,8.5
-84.750035,31.171909,11.8
-84.750004,31.171913,6.4
-84.749974,31.171918,4.9
-84.749945,31.171924,7.7
-84.749915,31.171931,5.3
-84.749885,31.171938,6.4
-84.749854,31.171943,6.9
-84.749823,31.171947,6.6
-84.749793,31.171953,5.9
-84.749762,31.171959,6.5
-84.749732,31.171965,5.4
-84.749702,31.17197,5.6
-84.749672,31.171976,5.5
-84.749641,31.171982,5
-84.749611,31.171989,5.9
-84.74958,31.171995,6.8
-84.74955,31.172,7.3
-84.749519,31.172006,5.7
-84.749489,31.172012,6.5
-84.749458,31.172018,5.8
-84.749427,31.172023,7.2
-84.749396,31.172029,7.8
-84.749366,31.172035,8.6
-84.749335,31.17204,8.1
-84.749304,31.172046,7.6
-84.749273,31.172052,8.1
-84.749243,31.172058,7.7
-84.749213,31.172064,7.7
-84.749182,31.17207,8.1
-84.749151,31.172076,8
-84.74912,31.172082,7.1
-84.74909,31.172088,7.6
-84.749058,31.172093,9.3
-84.749028,31.172099,8.3
-84.748997,31.172105,11.8
-84.748966,31.17211,8.5
-84.748935,31.172116,8.9
-84.748904,31.172122,8.7
-84.748874,31.172129,6.5
-84.748843,31.172135,6.9
-84.748813,31.172141,8.4
-84.748782,31.172147,7.9
