Easting[m], Northing[m], CH-1.0m
669801.573,5856448.343,6.379
669801.831,5856448.689,6.379
669802.05,5856448.984,5.832
669802.314,5856449.326,5.441
669802.558,5856449.633,5.597
669803.039,5856450.238,5.168
669803.299,5856450.565,4.972
669803.492,5856450.816,4.972
669803.73,5856451.155,4.543
669803.93,5856451.44,4.582
669804.177,5856451.792,4.699
669804.347,5856452.036,4.465
669804.575,5856452.36,4.152
669804.849,5856452.75,4.465
669805.003,5856452.968,4.777
669805.27,5856453.347,4.582
669805.409,5856453.544,5.051
669805.643,5856453.876,4.894
669805.865,5856454.174,5.168
669806.089,5856454.466,4.816
669806.274,5856454.706,4.543
669806.529,5856455.037,4.074
669806.706,5856455.267,4.738
669806.942,5856455.579,4.621
669807.141,5856455.854,4.582
669807.387,5856456.194,4.66
669807.57,5856456.446,4.933
669807.807,5856456.773,4.894
669808.062,5856457.119,5.519
669808.214,5856457.31,4.972
669808.437,5856457.592,5.402
669808.675,5856457.891,5.051
669808.853,5856458.115,4.972
669809.054,5856458.367,4.621
669809.285,5856458.662,5.129
669809.477,5856458.907,4.972
669809.747,5856459.252,5.324
669809.914,5856459.465,4.777
669810.156,5856459.775,4.699
669810.351,5856460.02,4.699
669810.607,5856460.325,5.324
669810.883,5856460.654,5.558
669811.083,5856460.894,5.48
669811.31,5856461.164,4.894
669811.584,5856461.492,5.363
669811.879,5856461.889,5.519
669812.084,5856462.165,5.285
669812.3,5856462.457,5.207
669812.578,5856462.832,5.011
669812.79,5856463.117,4.777
669813.016,5856463.414,3.801
669813.279,5856463.76,3.605
669813.464,5856464.004,4.152
669813.7,5856464.313,4.074
669813.97,5856464.67,3.84
669814.135,5856464.897,4.347
669814.37,5856465.22,4.269
669814.549,5856465.467,3.957
669814.764,5856465.762,4.113
669814.971,5856466.048,3.996
669815.212,5856466.368,3.918
669815.397,5856466.609,3.918
669815.632,5856466.913,4.426
669815.846,5856467.191,4.23
669816.07,5856467.481,3.683
669816.35,5856467.832,3.605
669816.537,5856468.046,3.761
669816.778,5856468.322,2.824
669817.04,5856468.622,3.449
669817.255,5856468.867,3.918
669817.489,5856469.135,3.918
669817.736,5856469.427,4.386
669818.027,5856469.772,4.816
669818.187,5856469.961,4.504
669818.434,5856470.254,4.074
669818.643,5856470.503,4.035
669818.899,5856470.813,4.347
669819.143,5856471.114,4.386
669819.338,5856471.356,4.347
669819.611,5856471.693,4.777
669819.811,5856471.94,4.269
669820.031,5856472.213,4.621
669820.296,5856472.544,4.738
669820.493,5856472.789,4.621
669820.733,5856473.088,4.426
669820.982,5856473.398,5.051
669821.185,5856473.651,4.855
669821.485,5856473.99,4.816
669821.808,5856474.348,4.465
669822.062,5856474.629,4.113
669822.395,5856474.999,3.996
669822.589,5856475.214,3.879
669822.818,5856475.548,4.152
669822.993,5856475.801,4.621
669823.272,5856476.206,4.504
669823.425,5856476.43,4.426
669823.634,5856476.734,4.621
669823.823,5856477.015,4.465
669824.014,5856477.304,4.504
669824.206,5856477.594,5.011
669824.388,5856477.869,5.285
669824.614,5856478.211,5.402
669824.769,5856478.445,5.441
669824.981,5856478.769,5.715
669825.156,5856479.036,4.621
669825.327,5856479.298,4.386
669825.537,5856479.619,4.777
669825.728,5856479.904,4.816
669825.952,5856480.163,4.582
669826.195,5856480.444,4.699
669826.416,5856480.698,4.269
669826.889,5856481.244,4.777
669827.087,5856481.506,4.972
669827.318,5856481.823,5.715
669827.559,5856482.154,5.285
669827.813,5856482.503,4.972
669828.009,5856482.773,5.48
669828.24,5856483.139,5.597
669828.405,5856483.434,5.715
669828.623,5856483.822,4.972
669828.779,5856484.101,4.816
669829.013,5856484.518,4.894
669829.163,5856484.777,4.426
669829.355,5856485.065,4.152
669829.603,5856485.436,4.699
669829.822,5856485.766,5.011
669830.037,5856486.087,5.129
669830.256,5856486.417,4.699
669830.485,5856486.697,4.386
669830.731,5856486.988,4.386
669830.988,5856487.292,5.207
669831.286,5856487.646,5.519
669831.494,5856487.893,5.832
669831.768,5856488.242,5.441
669832.031,5856488.61,5.441
669832.263,5856488.935,5.168
669832.548,5856489.333,5.051
669832.838,5856489.74,5.168
669833.004,5856489.986,4.972
669833.242,5856490.345,4.894
669833.479,5856490.703,4.777
669833.662,5856490.978,4.972
669833.886,5856491.316,4.894
669834.159,5856491.704,5.168
669834.377,5856491.985,4.933
669834.629,5856492.31,5.363
669834.891,5856492.648,5.207
669835.138,5856492.967,5.48
669835.352,5856493.243,6.301
669835.61,5856493.586,5.441
669835.879,5856493.946,5.246
669836.162,5856494.323,5.676
669836.374,5856494.606,5.949
669836.582,5856494.884,6.183
669836.796,5856495.238,6.183
669836.989,5856495.611,6.183
669837.162,5856495.946,5.988
669837.36,5856496.328,5.871
669837.581,5856496.755,5.246
669837.723,5856496.984,4.894
669838.005,5856497.362,5.285
669838.178,5856497.594,4.465
669838.432,5856497.934,5.129
669838.643,5856498.216,5.324
669838.919,5856498.589,4.855
669839.134,5856498.901,4.972
669839.32,5856499.17,5.285
669839.569,5856499.531,4.855
669839.762,5856499.811,4.933
669839.976,5856500.121,4.972
669840.192,5856500.446,5.09
669840.387,5856500.746,5.129
669840.635,5856501.126,5.051
669840.805,5856501.386,5.051
669841.045,5856501.754,5.519
669841.252,5856502.098,5.246
669841.42,5856502.408,5.676
669841.614,5856502.763,5.051
669841.787,5856503.082,4.816
669842,5856503.473,4.621
669842.171,5856503.779,5.207
669842.415,5856504.104,5.168
669842.686,5856504.465,5.09
669842.928,5856504.786,5.011
669843.207,5856505.158,4.933
669843.495,5856505.539,4.582
669843.678,5856505.779,4.777
669843.932,5856506.112,4.621
669844.172,5856506.427,4.347
669844.381,5856506.701,4.816
669844.614,5856507.007,4.504
669844.849,5856507.358,4.933
669845.06,5856507.681,5.129
669845.253,5856507.977,5.285
669845.483,5856508.328,5.011
669845.666,5856508.608,5.129
669845.893,5856508.984,4.738
669846.081,5856509.312,4.933
669846.262,5856509.627,5.246
669846.466,5856509.985,5.011
669846.639,5856510.286,4.777
669846.857,5856510.634,4.972
669847.129,5856510.987,4.543
669847.318,5856511.233,4.191
669847.546,5856511.53,4.191
669847.789,5856511.846,4.816
669848.058,5856512.196,4.777
669848.256,5856512.445,5.324
669848.496,5856512.746,4.855
669848.726,5856513.036,4.777
669848.927,5856513.289,4.621
669849.176,5856513.602,4.113
669849.359,5856513.887,4.347
669849.546,5856514.214,4.543
669849.745,5856514.561,5.051
669849.904,5856514.839,5.715
669850.122,5856515.22,5.793
669850.3,5856515.51,5.09
669850.522,5856515.844,5.207
669850.776,5856516.223,5.051
669850.949,5856516.483,5.48
669851.205,5856516.866,5.558
669851.396,5856517.152,5.168
669851.643,5856517.573,4.777
669851.842,5856517.913,4.777
669852.065,5856518.296,4.426
669852.256,5856518.624,4.894
669852.489,5856519.017,4.816
669852.732,5856519.404,5.246
669852.986,5856519.808,4.816
669853.156,5856520.078,4.582
669853.367,5856520.414,4.426
669853.573,5856520.742,4.504
669853.8,5856521.115,5.011
669854,5856521.445,4.777
669854.244,5856521.849,4.504
669854.495,5856522.264,4.347
669854.67,5856522.553,4.855
669854.971,5856522.963,4.894
669855.179,5856523.208,5.597
669855.453,5856523.531,5.285
669855.683,5856523.801,4.855
669855.963,5856524.131,5.715
669856.225,5856524.475,5.09
669856.425,5856524.859,4.543
669856.61,5856525.215,4.269
669856.81,5856525.599,4.582
669857.029,5856526.019,4.855
669857.211,5856526.369,4.621
669857.448,5856526.77,5.832
669857.644,5856527.093,5.09
669857.884,5856527.492,5.285
669858.102,5856527.851,5.48
669858.326,5856528.223,5.207
669858.535,5856528.567,4.543
669858.772,5856528.956,5.168
669858.974,5856529.286,5.011
669859.218,5856529.687,4.582
669859.488,5856530.129,4.386
669859.73,5856530.534,5.246
669859.868,5856530.769,4.816
669860.08,5856531.132,4.347
669860.281,5856531.475,4.269
669860.508,5856531.863,4.23
669860.705,5856532.2,4.386
669860.934,5856532.529,4.347
669861.187,5856532.887,4.269
669861.433,5856533.235,4.426
669861.718,5856533.638,4.347
669861.889,5856533.881,4.66
669862.13,5856534.22,4.23
669862.347,5856534.523,4.386
669862.572,5856534.839,4.113
669862.778,5856535.128,4.582
669863.007,5856535.448,4.543
669863.27,5856535.855,5.441
669863.45,5856536.188,5.832
669863.714,5856536.673,5.402
669863.896,5856537.01,5.558
669864.134,5856537.448,5.168
669864.337,5856537.791,5.285
669864.595,5856538.189,5.363
669864.815,5856538.528,5.441
669865.036,5856538.867,5.09
669865.251,5856539.198,4.66
669865.466,5856539.537,4.308
669865.688,5856539.956,4.699
669865.913,5856540.383,4.191
669866.07,5856540.679,4.386
669866.295,5856541.106,4.386
669866.478,5856541.453,3.918
669866.682,5856541.786,3.644
669866.918,5856542.16,3.371
669867.121,5856542.481,3.761
669867.355,5856542.851,3.722
669867.606,5856543.247,4.152
669867.778,5856543.521,3.918
669867.994,5856543.868,3.84
669868.171,5856544.152,4.035
669868.376,5856544.483,3.761
669868.592,5856544.83,4.074
669868.762,5856545.112,4.308
669868.927,5856545.444,4.894
669869.111,5856545.812,4.699
669869.256,5856546.101,5.246
669869.432,5856546.454,5.363
669869.605,5856546.8,4.933
669869.836,5856547.118,4.777
669870.265,5856547.675,4.23
669870.515,5856547.999,4.113
669870.745,5856548.299,4.738
669870.934,5856548.56,4.504
669871.16,5856548.891,4.621
669871.356,5856549.177,4.504
669871.587,5856549.514,4.972
669871.781,5856549.797,4.582
669872.008,5856550.118,4.699
669872.241,5856550.407,5.129
669872.489,5856550.714,4.972
669872.772,5856551.065,5.051
669872.999,5856551.346,5.011
669873.209,5856551.606,4.933
669873.469,5856551.965,4.855
669873.765,5856552.381,4.816
669873.922,5856552.602,5.011
669874.178,5856552.964,5.363
669874.395,5856553.27,5.285
669874.64,5856553.63,4.777
669874.89,5856553.997,4.933
669875.052,5856554.236,5.402
669875.257,5856554.539,4.738
669875.457,5856554.833,5.051
669875.668,5856555.187,5.285
669875.846,5856555.496,5.519
669876.06,5856555.871,5.402
669876.261,5856556.221,5.402
669876.487,5856556.615,5.285
669876.662,5856556.894,5.285
669876.874,5856557.215,5.246
669877.054,5856557.488,4.426
669877.296,5856557.856,4.269
669877.48,5856558.134,4.777
669877.705,5856558.482,4.66
669878.059,5856559.186,4.933
669878.246,5856559.559,4.816
669878.413,5856559.891,4.504
669878.582,5856560.229,4.738
669878.839,5856560.595,5.011
669879.055,5856560.877,5.285
669879.342,5856561.25,5.129
669879.519,5856561.481,5.051
669879.772,5856561.81,5.597
