Easting[m], Northing[m], CH-1.0m
669899.22,5856647.368,6.34
669899.021,5856647.275,6.847
669898.826,5856647.122,5.676
669898.608,5856646.827,5.832
669898.405,5856646.552,6.301
669898.188,5856646.258,6.379
669898.018,5856646.027,6.457
669897.859,5856645.79,6.457
669897.735,5856645.453,6.886
669897.608,5856645.107,7.16
669897.482,5856644.765,7.394
669897.37,5856644.46,7.316
669897.236,5856644.095,7.668
669897.167,5856643.788,7.863
669897.103,5856643.455,8.136
669897.036,5856643.106,8.996
669896.989,5856642.861,9.308
669896.914,5856642.469,9.152
669896.884,5856642.208,9.582
669896.875,5856642.012,9.972
669896.864,5856641.786,10.207
669896.853,5856641.555,9.777
669896.842,5856641.314,9.972
669896.793,5856640.993,10.207
669896.662,5856640.652,9.386
669896.527,5856640.304,9.347
669896.4,5856639.977,8.879
669896.238,5856639.558,7.863
669896.009,5856638.874,7.98
669895.905,5856638.46,7.16
669895.813,5856638.089,6.457
669895.731,5856637.763,6.691
669895.631,5856637.362,6.105
669895.533,5856637.072,5.949
669895.43,5856636.817,6.496
669895.277,5856636.438,5.91
669895.174,5856636.182,5.324
669895.038,5856635.846,5.676
669894.911,5856635.495,5.91
669894.815,5856635.218,6.34
669894.701,5856634.891,6.261
669894.59,5856634.571,5.011
669894.472,5856634.232,4.894
669894.361,5856633.951,5.48
669894.175,5856633.566,5.48
669894.005,5856633.214,5.91
669893.828,5856632.847,5.519
669893.643,5856632.466,4.894
669893.453,5856632.073,4.972
669893.299,5856631.769,5.285
669893.086,5856631.35,4.816
669892.949,5856631.079,5.129
669892.744,5856630.674,5.051
669892.556,5856630.303,5.597
669892.437,5856630.095,5.597
669892.294,5856629.855,5.636
669892.178,5856629.663,6.222
669892.047,5856629.443,5.949
669891.93,5856629.249,6.105
669891.368,5856628.193,5.207
669891.323,5856628.114,5.715
669891.268,5856628.019,5.363
669891.223,5856627.942,5.09
669891.169,5856627.849,5.597
669891.099,5856627.738,5.715
669891.002,5856627.594,5.91
669890.864,5856627.391,5.676
669890.724,5856627.184,5.246
669890.621,5856627.031,5.676
669890.5,5856626.851,6.222
669890.396,5856626.612,6.183
669890.297,5856626.382,6.183
669890.183,5856626.12,6.066
669890.097,5856625.92,5.597
669889.992,5856625.678,4.855
669889.851,5856625.362,4.621
669889.728,5856625.094,4.855
669889.58,5856624.771,4.035
669889.434,5856624.452,4.308
669889.314,5856624.19,4.191
669889.14,5856623.83,3.84
669888.975,5856623.516,3.918
669888.76,5856623.108,3.293
669888.6,5856622.804,3.879
669888.407,5856622.436,4.074
669888.251,5856622.157,3.957
669888.035,5856621.792,4.465
669887.867,5856621.509,4.269
669887.669,5856621.175,4.699
669887.447,5856620.8,4.543
669887.239,5856620.462,5.285
669887.054,5856620.19,5.832
669886.816,5856619.841,5.011
669886.632,5856619.572,3.84
669886.408,5856619.242,4.23
669886.231,5856618.983,4.543
669886.038,5856618.719,3.957
669885.832,5856618.442,4.347
669885.636,5856618.177,4.933
669885.426,5856617.895,5.168
669885.181,5856617.564,5.09
669885.016,5856617.278,4.855
669884.851,5856616.94,5.051
669884.651,5856616.528,4.855
669884.483,5856616.183,5.246
669884.308,5856615.825,5.09
669884.103,5856615.431,5.402
669883.936,5856615.159,5.168
669883.726,5856614.82,5.363
669883.557,5856614.546,4.933
669883.366,5856614.235,4.66
669883.19,5856613.951,4.855
669882.972,5856613.596,5.207
669882.749,5856613.232,5.246
669882.558,5856612.92,4.699
669882.309,5856612.516,4.855
669882.093,5856612.163,5.519
669871.91,5856593.94,4.113
669871.638,5856593.487,4.66
669871.462,5856593.194,4.269
669871.172,5856592.712,4.113
669870.981,5856592.394,4.777
669870.688,5856591.907,5.011
669870.406,5856591.488,4.66
669870.203,5856591.189,4.66
669869.898,5856590.739,4.543
669869.659,5856590.387,4.426
669869.348,5856589.929,4.738
669869.085,5856589.543,4.386
669868.749,5856589.049,4.699
669868.438,5856588.593,4.933
669868.156,5856588.18,4.972
669867.821,5856587.688,4.738
669867.592,5856587.298,4.426
669867.361,5856586.874,4.504
669867.136,5856586.46,4.738
669866.908,5856586.042,4.582
669866.721,5856585.699,4.23
669866.44,5856585.208,3.84
669866.218,5856584.853,4.113
669865.966,5856584.45,4.074
669865.719,5856584.053,3.84
669865.495,5856583.696,4.035
669865.252,5856583.305,4.426
669864.987,5856582.888,4.23
669864.737,5856582.494,4.504
669864.485,5856582.097,4.347
669864.246,5856581.719,4.582
669863.996,5856581.325,4.66
669863.761,5856580.957,4.347
669863.439,5856580.457,4.269
669863.26,5856580.179,4.035
669862.945,5856579.689,3.371
669862.726,5856579.348,4.152
669862.451,5856578.928,4.191
669862.22,5856578.585,4.074
669861.926,5856578.148,3.761
669861.632,5856577.711,3.527
669861.395,5856577.357,4.035
669861.125,5856576.955,3.41
669860.905,5856576.604,3.41
669860.593,5856576.104,3.722
669860.387,5856575.774,3.801
669860.097,5856575.311,2.863
669859.833,5856574.888,3.176
669859.592,5856574.537,3.84
669859.276,5856574.089,4.035
669858.996,5856573.693,4.347
669858.683,5856573.25,4.504
669858.456,5856572.929,4.113
669858.131,5856572.465,4.347
669857.85,5856572.058,4.113
669857.521,5856571.582,4.035
669857.15,5856571.045,4.386
669856.871,5856570.641,4.894
669856.558,5856570.192,4.777
669856.235,5856569.73,4.816
669855.984,5856569.373,4.191
669855.652,5856568.9,4.074
669855.376,5856568.506,3.605
669855.059,5856568.045,3.722
669854.797,5856567.634,3.332
669854.464,5856567.111,3.801
669854.145,5856566.611,3.801
669853.926,5856566.267,3.918
669853.621,5856565.788,3.957
669853.282,5856565.287,4.035
669853.022,5856564.907,3.957
669852.697,5856564.431,4.113
669852.439,5856564.054,3.566
669852.116,5856563.582,4.074
669851.806,5856563.128,4.113
669851.536,5856562.732,3.644
669851.268,5856562.338,3.566
669850.926,5856561.836,3.879
669850.686,5856561.483,3.605
669850.399,5856561.06,3.41
669850.156,5856560.693,3.488
669849.824,5856560.193,3.332
669849.54,5856559.764,3.644
669849.27,5856559.358,3.605
669849.019,5856558.98,3.801
669848.739,5856558.589,3.879
669848.469,5856558.218,4.152
669848.2,5856557.849,4.426
669847.88,5856557.409,4.23
669847.278,5856556.574,3.996
669847.061,5856556.268,3.644
669846.727,5856555.798,4.308
669846.431,5856555.381,4.504
669846.19,5856555.043,4.699
669845.862,5856554.568,3.332
669845.524,5856554.048,3.293
669845.254,5856553.632,3.488
669844.93,5856553.132,3.527
669844.607,5856552.635,3.644
669844.302,5856552.169,3.879
669844.017,5856551.735,3.879
669843.712,5856551.271,4.191
669843.426,5856550.837,3.957
669843.158,5856550.428,3.41
669842.843,5856549.951,3.488
669842.544,5856549.506,3.605
669842.274,5856549.105,2.941
669841.958,5856548.635,3.527
669841.663,5856548.197,3.488
669841.334,5856547.708,3.527
669841.077,5856547.32,3.449
669840.722,5856546.784,3.879
669840.463,5856546.393,3.879
669840.198,5856545.993,3.644
669839.857,5856545.478,3.84
669839.602,5856545.087,3.527
669839.278,5856544.586,3.41
669838.976,5856544.119,3.371
669838.702,5856543.694,3.683
669838.395,5856543.22,3.215
669838.088,5856542.746,3.918
669837.78,5856542.283,3.605
669837.524,5856541.898,3.644
669837.189,5856541.394,3.957
669836.943,5856541.023,3.566
669836.632,5856540.555,3.527
669836.359,5856540.15,3.957
669836.077,5856539.734,5.363
669835.75,5856539.25,4.347
669835.51,5856538.896,4.621
669835.187,5856538.418,4.426
669834.892,5856537.976,4.191
669834.603,5856537.536,3.918
669834.365,5856537.173,4.152
669834.055,5856536.702,4.113
669833.813,5856536.332,3.918
669833.519,5856535.884,3.996
669833.201,5856535.394,4.347
669832.941,5856534.993,4.269
669832.65,5856534.545,4.699
669832.339,5856534.065,4.504
669832.088,5856533.681,4.23
669831.848,5856533.318,3.957
669831.631,5856532.991,3.683
669831.352,5856532.568,3.879
669831.075,5856532.15,3.058
669830.89,5856531.87,3.215
669830.604,5856531.442,3.449
669830.338,5856531.046,3.722
669830.119,5856530.719,3.176
669829.857,5856530.326,3.683
669829.581,5856529.914,3.371
669829.334,5856529.556,3.722
669829.071,5856529.179,3.449
669828.802,5856528.792,3.722
669828.582,5856528.477,4.191
669828.303,5856528.075,4.972
669828.016,5856527.668,5.402
669827.766,5856527.322,4.855
669827.451,5856526.885,4.347
669827.153,5856526.473,4.543
669826.921,5856526.15,4.152
669826.634,5856525.752,3.84
669826.368,5856525.379,3.918
669826.007,5856524.873,4.191
669825.758,5856524.523,3.918
669825.451,5856524.092,4.386
669825.201,5856523.742,4.074
669824.912,5856523.312,3.996
669824.613,5856522.855,3.996
669824.32,5856522.408,4.035
669824.076,5856522.034,3.918
669823.739,5856521.519,3.722
669823.495,5856521.153,4.152
669823.147,5856520.648,4.113
669822.831,5856520.191,3.996
669822.48,5856519.681,3.957
669822.205,5856519.282,4.113
669821.872,5856518.799,3.644
669821.577,5856518.36,3.84
669821.256,5856517.882,3.488
669820.911,5856517.368,3.801
669820.583,5856516.879,3.605
669820.244,5856516.392,3.918
669819.887,5856515.93,3.918
669819.599,5856515.558,4.191
669819.273,5856515.136,3.566
669818.977,5856514.753,3.84
669818.635,5856514.311,3.84
669818.251,5856513.792,3.918
669818.035,5856513.501,4.074
669817.683,5856513.024,3.879
669817.363,5856512.591,4.152
669817.083,5856512.212,4.23
669816.699,5856511.703,3.918
669816.35,5856511.249,3.957
669816.051,5856510.859,4.113
669815.671,5856510.366,4.543
669815.368,5856509.971,3.918
669815.02,5856509.526,3.683
669814.614,5856509.032,3.957
669814.344,5856508.704,3.918
669813.95,5856508.226,3.918
669813.685,5856507.905,3.879
669813.238,5856507.361,4.269
669813.02,5856507.09,4.777
669812.658,5856506.642,4.308
669812.401,5856506.323,4.66
669812.068,5856505.91,5.402
669811.722,5856505.482,5.48
669811.464,5856505.158,5.363
669811.13,5856504.735,5.051
669810.782,5856504.293,5.09
669810.49,5856503.923,5.129
669810.188,5856503.54,5.285
669809.871,5856503.125,5.09
669809.565,5856502.689,5.129
669809.272,5856502.273,4.933
669808.964,5856501.835,5.558
669808.657,5856501.399,5.129
669808.397,5856501.029,5.48
669808.017,5856500.541,4.816
669807.634,5856500.057,4.699
669807.344,5856499.691,4.777
669806.961,5856499.206,4.777
669806.671,5856498.84,4.66
669806.255,5856498.319,5.011
669805.821,5856497.78,4.504
669805.464,5856497.336,3.918
669805.043,5856496.813,4.035
669804.562,5856496.215,3.996
669804.164,5856495.734,4.347
669803.783,5856495.277,4.347
669803.408,5856494.826,4.621
669802.973,5856494.304,4.465
669802.64,5856493.904,4.582
669802.268,5856493.465,4.426
669801.894,5856493.032,4.465
669801.523,5856492.602,4.582
669801.179,5856492.204,4.972
669800.773,5856491.734,4.66
669800.468,5856491.38,5.09
669800.079,5856490.946,5.011
669799.672,5856490.491,5.09
669799.381,5856490.166,4.894
669799.005,5856489.746,4.582
669798.66,5856489.36,4.582
669798.331,5856488.972,5.363
669797.95,5856488.514,3.488
669797.545,5856488.026,1.73
669797.265,5856487.69,3.683
669796.873,5856487.218,4.504
669796.442,5856486.683,4.972
669796.135,5856486.293,4.699
669795.725,5856485.771,4.894
669795.372,5856485.322,4.074
669794.956,5856484.793,4.191
669794.653,5856484.408,4.191
669794.24,5856483.87,4.152
669793.909,5856483.438,4.386
669793.515,5856482.925,4.035
669793.167,5856482.471,4.308
669792.822,5856482.022,4.66
669792.477,5856481.602,4.621
669792.052,5856481.097,4.426
669791.671,5856480.643,4.386
669791.342,5856480.253,5.051
669790.913,5856479.744,4.855
669790.598,5856479.362,4.933
669790.162,5856478.822,5.011
669789.755,5856478.318,4.816
669789.392,5856477.869,4.855
669789.052,5856477.447,4.894
669788.626,5856476.905,5.09
669788.319,5856476.505,5.441
669787.983,5856476.068,7.004
669787.664,5856475.654,8.722
669787.289,5856475.166,3.879
669787.014,5856474.803,7.238
669786.685,5856474.352,7.863
669786.273,5856473.787,7.277
669786.034,5856473.459,6.808
669785.642,5856472.921,6.183
669785.358,5856472.531,5.519
669784.977,5856472.028,5.48
669784.736,5856471.71,5.715
669784.381,5856471.242,5.558
669784.048,5856470.803,5.558
669783.737,5856470.393,5.597
669783.397,5856469.96,5.324
669783.075,5856469.557,5.676
669782.711,5856469.101,5.09
669782.401,5856468.713,5.246
669781.987,5856468.195,4.816
669781.733,5856467.873,5.363
669781.289,5856467.293,5.011
669780.995,5856466.91,4.777
669780.6,5856466.395,4.855
669780.346,5856466.065,5.051
669779.948,5856465.545,5.129
669779.597,5856465.094,4.66
669779.292,5856464.701,4.465
669778.912,5856464.211,4.621
669778.592,5856463.799,4.504
669778.144,5856463.223,4.777
669777.85,5856462.872,5.011
669777.542,5856462.508,4.543
669777.182,5856462.083,4.543
669776.837,5856461.676,4.035
669776.456,5856461.227,4.035
669776.053,5856460.761,3.84
669775.652,5856460.313,4.113
669775.201,5856459.807,5.051
669774.738,5856459.289,4.777
669774.369,5856458.876,4.699
669773.953,5856458.419,4.777
669773.532,5856457.965,4.933
669773.208,5856457.615,4.738
669772.737,5856457.107,4.23
669772.314,5856456.651,4.113
669771.969,5856456.273,4.426
669771.575,5856455.826,4.347
669771.276,5856455.485,4.426
669770.85,5856455.002,4.23
669770.49,5856454.592,4.23
669770.149,5856454.204,4.543
669769.732,5856453.738,4.191
669769.292,5856453.248,4.816
669768.996,5856452.918,4.777
669768.574,5856452.447,3.879
669768.172,5856451.999,4.269
669767.859,5856451.644,3.84
669767.483,5856451.216,4.113
669767.1,5856450.778,3.918
669766.696,5856450.317,3.644
669766.418,5856449.998,3.683
669766.02,5856449.542,3.918
669765.632,5856449.084,4.113
669765.367,5856448.772,4.269
669764.961,5856448.293,3.918
669764.695,5856447.979,3.801
669764.323,5856447.54,3.957
669763.993,5856447.179,3.996
669763.582,5856446.734,3.761
669763.275,5856446.402,4.152
669762.858,5856445.951,3.644
669762.426,5856445.484,3.918
669762.139,5856445.143,3.488
669761.754,5856444.665,3.761
669761.496,5856444.343,3.371
669761.138,5856443.898,3.722
669760.778,5856443.45,3.84
669760.398,5856442.968,3.449
669760.127,5856442.613,3.644
669759.723,5856442.083,3.41
669759.357,5856441.602,3.293
669759.075,5856441.233,3.566
669758.702,5856440.766,4.152
669758.329,5856440.345,4.23
669757.993,5856439.966,4.465
669757.688,5856439.623,4.465
669757.333,5856439.222,4.308
669757.046,5856438.898,4.23
669756.7,5856438.447,4.543
669756.412,5856438.071,4.543
669756.11,5856437.677,4.347
669755.823,5856437.304,4.269
669755.537,5856436.93,4.308
669755.169,5856436.456,3.996
669754.882,5856436.087,3.566
669754.503,5856435.598,3.254
669754.181,5856435.184,4.23
669753.794,5856434.686,4.347
669753.496,5856434.293,3.801
669753.1,5856433.757,4.074
669752.738,5856433.266,3.683
669752.08,5856432.377,3.801
669751.794,5856431.989,3.801
669751.473,5856431.546,4.152
669751.152,5856431.103,3.527
669750.787,5856430.599,3.644
669750.509,5856430.214,4.308
669750.091,5856429.638,4.152
669749.834,5856429.277,4.113
669749.487,5856428.79,4.504
669749.207,5856428.397,4.855
669748.847,5856427.892,4.152
669748.604,5856427.549,3.879
669748.287,5856427.092,4.074
669747.991,5856426.644,3.918
669747.724,5856426.243,4.191
669747.422,5856425.786,4.191
669747.165,5856425.397,4.543
669746.882,5856424.98,4.347
669746.586,5856424.583,3.644
669746.25,5856424.134,4.074
669746.018,5856423.823,3.918
669745.684,5856423.375,3.84
669745.378,5856422.966,4.308
669745.099,5856422.537,4.308
669744.763,5856422,4.074
669744.497,5856421.575,3.957
669744.133,5856420.995,3.761
669743.798,5856420.468,4.074
669743.554,5856420.118,4.152
669743.236,5856419.664,3.918
669743.009,5856419.34,3.996
669742.645,5856418.818,3.097
669742.398,5856418.466,3.84
669742.092,5856418.05,3.683
669741.784,5856417.642,3.41
669741.541,5856417.32,3.996
669741.206,5856416.876,4.035
669740.959,5856416.548,4.035
669740.65,5856416.123,4.269
669740.47,5856415.859,4.543
669740.192,5856415.452,4.269
669739.929,5856415.068,3.996
669739.696,5856414.726,4.152
669739.482,5856414.414,3.957
669739.259,5856414.075,4.386
669739.007,5856413.694,4.426
669738.806,5856413.387,4.543
669738.573,5856413.034,4.347
669738.39,5856412.756,3.879
669738.142,5856412.367,4.191
669737.92,5856412.013,4.777
669737.681,5856411.631,3.801
669737.444,5856411.253,4.152
669737.27,5856410.975,4.465
669737.023,5856410.593,4.777
669736.793,5856410.258,4.66
669736.593,5856409.965,4.894
669736.321,5856409.569,4.894
669736.131,5856409.292,5.402
669735.894,5856408.944,5.168
669735.759,5856408.739,5.363
669735.564,5856408.443,4.933
669735.385,5856408.17,5.011
669735.201,5856407.89,5.168
669735.044,5856407.651,4.621
669734.914,5856407.44,4.543
669734.812,5856407.269,5.011
669734.681,5856407.048,5.051
669734.553,5856406.833,5.129
669734.462,5856406.679,4.855
669734.366,5856406.462,4.699
669734.289,5856406.276,4.855
669734.2,5856406.062,5.207
669734.122,5856405.873,5.168
669734.034,5856405.659,4.972
669733.996,5856405.554,4.933
669733.976,5856405.473,4.543
669733.958,5856405.396,4.504
669733.94,5856405.322,4.582
669733.922,5856405.247,4.894
669733.912,5856405.197,4.386
669733.918,5856405.189,4.347
669733.926,5856405.179,4.426
669733.933,5856405.17,4.66
669733.939,5856405.162,5.011
669733.947,5856405.152,4.777
669733.942,5856405.139,4.347
669733.932,5856405.12,4.347
669733.923,5856405.101,5.09
669733.916,5856405.087,5.285
669733.907,5856405.069,5.207
669733.869,5856404.991,5.285
669733.809,5856404.869,5.441
669733.744,5856404.737,5.324
669733.699,5856404.645,5.011
669733.631,5856404.506,4.933
669733.541,5856404.354,5.129
669733.454,5856404.234,4.855
669733.371,5856404.119,4.152
669733.254,5856403.957,4.699
669733.149,5856403.813,4.933
669733.057,5856403.686,5.129
669732.954,5856403.567,4.543
669732.838,5856403.438,4.777
669732.757,5856403.349,4.543
669732.659,5856403.24,5.09
669732.562,5856403.132,5.129
669732.466,5856403.03,5.09
669732.327,5856402.888,5.168
669732.224,5856402.783,5.285
669732.089,5856402.645,5.207
669731.958,5856402.511,4.816
669731.852,5856402.463,4.777
669731.724,5856402.418,4.933
669731.586,5856402.369,5.129
669731.465,5856402.326,5.129
669731.335,5856402.28,5.168
669731.213,5856402.243,5.011
669731.145,5856402.228,5.129
669731.065,5856402.21,5.402
669730.986,5856402.192,5.324
669730.906,5856402.174,5.129
669730.832,5856402.16,5.246
669730.723,5856402.169,5.558
669730.622,5856402.178,5.519
669730.525,5856402.186,5.129
669730.422,5856402.195,5.246
669730.316,5856402.205,4.504
669730.227,5856402.268,4.738
669730.159,5856402.326,5.597
669730.076,5856402.396,5.519
669729.992,5856402.467,5.402
669729.919,5856402.529,5.676
669729.849,5856402.576,5.636
669729.791,5856402.601,5.871
669729.734,5856402.626,5.402
669729.675,5856402.652,5.715
669729.609,5856402.681,5.793
669729.55,5856402.714,6.613
669729.473,5856402.794,6.691
669729.379,5856402.892,6.144
669729.308,5856402.966,6.34
669729.206,5856403.071,6.183
669729.142,5856403.138,6.574
669729.066,5856403.254,6.261
669728.998,5856403.372,6.222
669728.937,5856403.478,5.011
669728.862,5856403.61,5.441
669728.809,5856403.701,4.933
669728.744,5856403.878,5.363
669728.704,5856404.054,5.011
669728.655,5856404.272,5.051
669728.608,5856404.482,5.363
669728.571,5856404.647,5.793
669728.579,5856404.914,5.558
669728.617,5856405.197,5.402
669728.647,5856405.419,5.246
669728.687,5856405.71,5.129
669728.721,5856405.962,5.676
669728.818,5856406.274,5.558
669729.005,5856406.605,4.738
669729.178,5856406.912,4.191
669729.338,5856407.195,3.761
669729.519,5856407.515,3.293
669729.714,5856407.847,3.527
669729.982,5856408.184,3.644
669730.15,5856408.393,2.824
669730.42,5856408.733,2.98
669730.67,5856409.046,3.136
669730.881,5856409.31,3.019
669731.148,5856409.651,3.41
669731.36,5856409.922,3.566
669731.616,5856410.251,3.605
669731.903,5856410.62,3.41
669732.132,5856410.913,3.527
669732.415,5856411.273,3.136
669732.666,5856411.586,4.113
669732.929,5856411.915,3.41
669733.192,5856412.244,3.41
669733.454,5856412.571,3.019
669733.688,5856412.864,3.371
669733.95,5856413.178,2.746
669734.18,5856413.453,2.668
669734.43,5856413.752,3.176
669734.606,5856413.964,3.332
669734.899,5856414.315,3.097
669735.082,5856414.534,3.918
669735.341,5856414.845,3.683
669735.52,5856415.06,2.59
669735.778,5856415.37,3.176
669735.968,5856415.597,2.863
669736.252,5856415.944,3.019
669736.563,5856416.332,2.902
669736.82,5856416.651,3.097
669737.17,5856417.086,3.254
669737.513,5856417.513,3.097
669737.771,5856417.835,3.41
669738.106,5856418.258,3.449
669738.454,5856418.698,3.019
669738.757,5856419.081,2.902
669739.093,5856419.506,3.254
669739.408,5856419.905,3.215
669739.811,5856420.437,2.707
669740.139,5856420.877,2.863
669740.539,5856421.413,3.058
669740.936,5856421.943,2.863
669741.302,5856422.434,2.902
669741.654,5856422.939,2.004
669741.929,5856423.334,2.59
669742.305,5856423.877,2.355
669742.619,5856424.33,2.59
669742.957,5856424.818,2.902
669743.232,5856425.201,2.707
669743.598,5856425.701,2.746
669743.898,5856426.11,2.941
669744.305,5856426.668,2.902
669744.597,5856427.065,3.097
669744.919,5856427.499,2.863
669745.304,5856427.997,3.254
669745.612,5856428.396,2.551
669745.938,5856428.817,3.019
669746.287,5856429.269,2.433
669746.608,5856429.684,2.511
669746.922,5856430.09,2.629
669747.305,5856430.587,2.668
669747.957,5856431.429,2.59
669748.3,5856431.873,2.238
669748.667,5856432.37,2.629
669748.936,5856432.742,2.316
669749.277,5856433.215,2.902
669749.555,5856433.599,2.668
669749.945,5856434.138,2.707
669750.214,5856434.51,3.097
669750.598,5856435.039,2.59
669750.863,5856435.405,2.238
669751.199,5856435.868,2.355
669751.587,5856436.402,2.59
669751.866,5856436.787,2.863
669752.245,5856437.302,2.746
669752.642,5856437.839,3.176
669752.958,5856438.268,3.293
669753.355,5856438.806,2.941
669753.644,5856439.198,3.136
669754.02,5856439.709,3.058
669754.326,5856440.126,3.097
669754.726,5856440.67,2.668
669755.09,5856441.165,2.629
669755.417,5856441.611,3.097
669755.758,5856442.094,2.824
669756.131,5856442.63,2.941
669756.47,5856443.117,3.215
669756.76,5856443.534,2.941
669757.107,5856444.033,2.824
669757.459,5856444.507,2.433
669757.871,5856445.034,2.511
669758.227,5856445.49,2.277
669758.684,5856446.075,2.98
669758.985,5856446.461,3.019
669759.39,5856446.991,3.254
669759.699,5856447.437,3.449
669760.077,5856447.983,3.019
669760.446,5856448.516,2.746
669760.729,5856448.923,2.902
669761.159,5856449.531,2.902
669761.404,5856449.811,2.863
669761.863,5856450.336,2.394
669762.256,5856450.785,3.019
669762.619,5856451.199,2.863
669763.033,5856451.672,3.605
669763.34,5856452.055,3.449
669763.719,5856452.567,3.449
669764.068,5856453.04,3.41
669764.393,5856453.481,3.488
669764.788,5856454.016,3.879
669765.082,5856454.411,3.449
669765.46,5856454.892,4.113
669765.882,5856455.429,3.761
669766.342,5856456.014,3.566
669766.625,5856456.373,3.136
669767.03,5856456.889,2.59
669767.349,5856457.296,3.019
669767.746,5856457.802,3.371
669768.05,5856458.19,3.097
669768.458,5856458.711,3.761
669768.867,5856459.232,3.644
669769.268,5856459.714,3.801
669769.651,5856460.16,3.527
669770.069,5856460.647,3.918
669770.485,5856461.131,4.465
669770.877,5856461.588,4.308
669771.284,5856462.058,4.66
669771.673,5856462.507,4.621
669772.025,5856462.913,4.113
669772.412,5856463.36,4.426
669772.846,5856463.861,4.504
669773.223,5856464.294,4.152
669773.668,5856464.802,4.269
669773.984,5856465.164,4.191
669774.424,5856465.667,4.582
669774.791,5856466.086,4.191
669775.219,5856466.578,4.074
669775.631,5856467.085,4.113
669775.984,5856467.519,3.644
669776.382,5856468.008,4.152
669776.727,5856468.432,4.465
669777.111,5856468.904,4.308
669777.506,5856469.406,4.386
669777.845,5856469.84,3.879
669778.22,5856470.32,3.801
669778.661,5856470.886,3.41
669778.962,5856471.272,3.683
669779.383,5856471.793,3.644
669779.658,5856472.121,3.449
669780.069,5856472.611,3.527
669780.422,5856473.032,3.254
669780.754,5856473.428,3.215
669781.169,5856473.927,4.035
669781.468,5856474.309,3.527
669781.792,5856474.723,3.605
669782.166,5856475.201,4.074
669782.505,5856475.633,3.879
669782.843,5856476.066,3.996
669783.161,5856476.464,4.035
669783.583,5856476.989,4.035
669783.846,5856477.317,4.386
669784.256,5856477.826,4.426
669784.523,5856478.159,3.644
669784.904,5856478.637,4.074
669785.228,5856479.046,3.293
669785.627,5856479.552,3.254
669785.945,5856479.955,3.41
669786.332,5856480.444,3.566
669786.64,5856480.835,3.058
669787.054,5856481.38,3.449
669787.493,5856481.959,2.941
669787.799,5856482.362,3.332
669788.264,5856482.975,3.449
669788.566,5856483.374,3.332
669788.955,5856483.89,3.019
669789.335,5856484.395,2.668
669789.689,5856484.865,2.277
669790.049,5856485.343,2.472
669790.378,5856485.781,3.41
669790.792,5856486.284,3.332
669791.103,5856486.659,2.98
669791.525,5856487.168,2.59
669791.849,5856487.56,2.511
669792.248,5856488.041,2.629
669792.649,5856488.54,2.629
669792.927,5856488.889,2.941
669793.329,5856489.396,3.058
669793.623,5856489.766,3.215
669794.044,5856490.295,3.41
669794.349,5856490.683,2.98
669794.704,5856491.14,2.511
669795.01,5856491.534,2.629
669795.417,5856492.057,3.097
669795.769,5856492.511,3.293
669796.109,5856492.948,3.449
669796.497,5856493.444,3.488
669796.799,5856493.83,3.371
669797.201,5856494.344,3.761
669797.572,5856494.819,3.996
669797.928,5856495.274,3.566
669798.255,5856495.7,3.918
669798.641,5856496.211,4.152
669798.962,5856496.635,4.347
669799.367,5856497.17,4.074
669799.757,5856497.686,4.035
669800.074,5856498.102,4.152
669800.491,5856498.644,3.84
669800.745,5856498.975,3.566
669801.13,5856499.476,4.035
669801.551,5856500.023,3.566
669801.895,5856500.471,3.722
669802.305,5856501.037,3.527
669802.716,5856501.607,3.84
669803.165,5856502.227,3.957
669803.518,5856502.715,4.035
669803.95,5856503.3,3.801
669804.308,5856503.752,3.605
669804.726,5856504.28,4.035
669805.159,5856504.827,4.347
669805.49,5856505.245,3.957
669805.906,5856505.771,4.074
669806.222,5856506.18,3.84
669806.652,5856506.738,4.113
669806.958,5856507.135,3.605
669807.379,5856507.682,3.957
669807.785,5856508.209,4.347
669808.129,5856508.66,3.761
669808.533,5856509.193,3.41
669808.9,5856509.678,3.215
669809.215,5856510.094,3.176
669809.559,5856510.548,3.176
669809.973,5856511.095,2.746
669810.252,5856511.466,2.824
669810.644,5856511.987,2.941
669811.007,5856512.469,2.394
669811.294,5856512.85,2.316
669811.685,5856513.37,2.16
669811.992,5856513.754,2.551
669812.43,5856514.299,2.746
669812.737,5856514.681,3.176
669813.117,5856515.153,2.824
669813.502,5856515.631,2.668
669813.78,5856516.003,2.746
669814.171,5856516.551,2.824
669814.444,5856516.933,2.511
669814.852,5856517.506,3.097
669815.178,5856517.963,2.785
669815.496,5856518.403,2.785
669815.856,5856518.873,2.98
669816.182,5856519.299,2.824
669816.587,5856519.827,2.785
669816.928,5856520.272,2.707
669817.253,5856520.695,3.019
669817.678,5856521.287,2.629
669818.009,5856521.753,2.511
669818.415,5856522.325,3.019
669818.793,5856522.859,3.097
669819.188,5856523.42,3.215
669819.468,5856523.855,2.824
669819.816,5856524.394,3.019
669820.103,5856524.838,2.941
669820.432,5856525.348,2.59
669820.801,5856525.921,2.668
669821.059,5856526.309,2.863
669821.458,5856526.907,2.863
669821.793,5856527.406,2.707
669822.06,5856527.806,3.176
669822.438,5856528.372,3.527
669822.766,5856528.868,3.566
669823.046,5856529.298,3.644
669823.42,5856529.871,3.488
669823.767,5856530.405,3.488
669824.118,5856530.943,4.269
669824.413,5856531.399,3.879
669824.709,5856531.873,3.722
