sampling_poin_no,Latitude,Longitude,K,P,NO3,SO4,CaCO3
286,33.118,73.0139,139.8,4.7,7.4,12.3,8.1
292,33.118,73.0171,113.67,2.99,7.38,8.13,10.09
296,33.118,73.0184,108.76,7.18,7.29,5.91,8.97
297,33.118,73.0187,191.1,6.54,7.63,9.14,8.73
300,33.1176,73.0087,159.8,8.45,8.06,12.01,9.78
301,33.1176,73.009,130.76,9.45,2.71,6.79,5.24
303,33.1176,73.0097,103.3,1.73,6.13,9.34,5.59
305,33.1177,73.0107,120.12,8.9,7.09,13.9,8.15
307,33.1177,73.0113,138,8.1,9.11,17,9.45
311,33.1177,73.0129,108.78,9.23,9.9,20.23,9.89
312,33.1177,73.0132,113.67,3.66,8.35,18.37,9.49
316,33.1177,73.0158,107.67,7.23,10.12,9.08,9.58
317,33.1177,73.0161,103.32,5.2,6.93,8.12,6.13
318,33.1177,73.0164,116.18,6.55,10.23,9.12,9.34
323,33.1178,73.018,110.9,7.02,9.41,6.87,7.47
326,33.1173,73.0081,102.45,8.25,3.8,7.34,6.5
327,33.1173,73.0084,163,5.78,11,3.98,8.39
329,33.1174,73.0091,108.23,9.71,6.5,5.43,5.13
331,33.1174,73.0097,127.23,6.12,7.01,4.09,8.65
332,33.1174,73.01,108.98,3.72,7.33,7.28,8.46
334,33.1174,73.0109,123.12,8.24,6.98,4.4,5.24
336,33.1175,73.0116,105.55,3.79,8.97,14.39,5.01
339,33.1174,73.0129,104.91,5.55,8.53,8.15,10.11
344,33.1174,73.0145,95.59,2.84,7.78,9.19,8.31
347,33.1174,73.0155,118.12,7.6,7.23,5.13,8.05
349,33.1175,73.0161,109.98,6.49,6.67,5.54,5.25
352,33.1175,73.0171,127.5,5.5,7.11,9.66,9.21
357,33.1175,73.0187,122.7,5.23,8.25,10.12,8.51
358,33.1175,73.019,106.55,8.25,3.25,8.67,5.46
361,33.1171,73.0087,147,6.54,10.23,14.12,8.14
362,33.1171,73.0091,103.78,6.83,8.14,9.14,9.15
363,33.1171,73.0094,117.23,6.6,10.45,14.09,9.29
366,33.1171,73.0103,154,7,7.56,7.7,8.56
368,33.1171,73.0113,109.09,3.57,6.68,7.34,5.27
371,33.1171,73.0126,105.56,5.41,8.89,11.09,9.28
375,33.1172,73.0139,137,4.43,8.76,5.43,9.37
380,33.1172,73.0155,102.54,4.22,6.18,7.13,5.47
381,33.1172,73.0158,151.9,4.35,9.01,5.54,10.15
383,33.1172,73.0165,109.87,6.58,6.58,4.9,5.27
385,33.1173,73.017,149,5.34,6.77,5.81,6.1
386,33.1172,73.0174,106.98,8.49,3.8,7.67,6.35
389,33.1172,73.0184,143.78,5.67,6.75,5.14,5.79
392,33.1172,73.0193,146.7,6.12,11,17.7,8.15
395,33.1168,73.0081,119.7,6.3,12.3,18.09,9.57
400,33.1168,73.01,165,6.45,9.34,7.23,7.64
403,33.1169,73.0126,107.98,5.37,7.64,9.49,7.31
410,33.1169,73.0152,147.98,5.1,9.04,7.12,8.17
411,33.1169,73.0155,102.67,4.49,6.19,12.09,4.96
413,33.1169,73.0161,141,5.23,7.09,7.98,8.55
416,33.1169,73.0174,124.56,5.3,7,7.13,8.76
422,33.117,73.0193,104.43,7.07,4.91,9.47,5.29
429,33.1166,73.0087,162,5.8,10,5.23,8.39
437,33.1166,73.0129,109.99,5.64,15.31,9.03,8.29
445,33.1167,73.0161,118.8,5.76,6.7,5.47,5.13
451,33.1167,73.0187,142.23,7.33,6.92,8.67,6.09
453,33.1167,73.0194,119.34,7.22,7.05,8.21,8.72
454,33.1167,73.0197,134.8,7.9,6.64,5.17,5.79
456,33.1167,73.0203,141.11,7.47,7.42,7.73,9.11
458,33.1163,73.0078,170.3,7.1,6.11,5.97,6.47
459,33.1163,73.0081,141.98,8,4.97,5.47,6.13
461,33.1163,73.0087,147.3,7.45,7.73,5.01,8.56
465,33.1163,73.01,149.6,4.23,7.12,6.15,7.57
470,33.1163,73.0123,134.78,4.32,7.09,6.11,10.14
471,33.1163,73.0126,90.56,5.6,4.66,5.9,7.45
474,33.1163,73.0136,137,4.8,7.94,6.17,8.17
475,33.1164,73.0139,100.76,4.48,8.34,8.67,8.37
476,33.1164,73.0142,133.8,5.12,7.34,7.23,8.51
479,33.1164,73.0158,134.2,4.1,8.02,6.19,9.63
481,33.1164,73.0165,103.54,4.69,6.63,16.98,7.89
482,33.1164,73.0168,106.6,5.4,8.12,7.47,7.9
486,33.1164,73.0184,104.77,7.2,5.31,7.01,8
489,33.1164,73.0194,144.78,7.87,8.34,9.56,10
490,33.1164,73.0197,108,6.56,8.89,6.29,9.76
497,33.116,73.0087,114,6.45,8.94,7.78,8.36
499,33.116,73.0094,133.39,1.32,8.11,5.46,5.78
503,33.116,73.0107,118.43,1.8,6.43,6.58,6.45
507,33.1161,73.0126,91.19,6.34,5.81,6.74,4.9
508,33.1161,73.0129,133,2.98,6.35,8.32,7.66
513,33.1161,73.0145,92.78,5.87,7.21,6.13,9.24
515,33.1161,73.0152,142.6,6.54,7.13,11.23,9.57
516,33.1161,73.0155,104.15,6.36,7.16,7.45,9.65
524,33.1162,73.0187,122.2,7.59,8.37,12.18,9.79
529,33.1162,73.0203,126.71,7.59,8.44,13.24,8.54
535,33.1158,73.0097,106.45,7.1,6.99,6.34,7.7
538,33.1158,73.0107,99.4,6.5,7.65,6.78,7.56
543,33.1158,73.0126,91.62,7.86,7.71,7.23,7.43
546,33.1158,73.0136,100.98,5.32,7.03,5.54,8.78
548,33.1158,73.0142,90.8,8.23,8.12,11.46,8.85
549,33.1158,73.0145,93.56,5.44,7.36,11.09,9.13
553,33.1158,73.0158,91.31,6.66,7.35,5.5,8.91
559,33.1159,73.0178,100.7,8.4,8.34,5.23,9.9
568,33.1155,73.0091,101.45,8.12,3.03,5.81,4.89
569,33.1155,73.0094,107.45,5.23,8.87,9.35,8.17
582,33.1155,73.0142,142.33,7,6.48,6.77,7.75
584,33.1156,73.0149,120.19,3.94,7.6,10.42,9
594,33.1156,73.0181,121.56,4.03,7.91,10.71,8.65
595,33.1156,73.0197,125.78,6.81,6.21,5.71,6.54
597,33.1157,73.0203,101,5.67,9.78,7.97,8.73
598,33.1152,73.0091,123.98,5.34,7.58,7.23,9.57
602,33.1152,73.0104,117.45,5.98,9.73,5.23,8.57
608,33.1153,73.013,110,6.1,10.5,5.33,8.76
609,33.1153,73.0133,114.98,7.96,7.2,7.35,10.05
612,33.1153,73.0142,103.5,6.7,10.23,9.37,9.38
