LONGITUDE	LATITUDE
-54,002796043	-25,408516975
-54,00280463	-25,408528435
-54,002809376	-25,408539474
-54,002816613	-25,408550243
-54,002823953	-25,408561995
-54,002830489	-25,40857346
-54,002837604	-25,408584817
-54,002843899	-25,408595716
-54,002850393	-25,408606887
-54,00285775	-25,408618507
-54,002864103	-25,408630345
-54,002871694	-25,408642011
-54,002878221	-25,408654421
-54,002884453	-25,408666827
-54,002891063	-25,408677598
-54,002897439	-25,408689562
-54,002902589	-25,408702551
-54,002915249	-25,408703963
-54,002921876	-25,40871548
-54,002929039	-25,408727288
-54,002932195	-25,408744317
-54,002938274	-25,408756546
-54,002945188	-25,408768524
-54,002951869	-25,408780308
-54,002958589	-25,408791585
-54,002965366	-25,408802393
-54,002971802	-25,408813572
-54,00297828	-25,408824591
-54,002984927	-25,408835811
-54,002992202	-25,408846642
-54,002999956	-25,408857433
-54,003006134	-25,40886896
-54,003012828	-25,408880175
-54,003022012	-25,408884702
-54,003028377	-25,408894666
-54,003032484	-25,408907365
-54,003037979	-25,408917658
-54,003043777	-25,408927522
-54,003049505	-25,408938002
-54,003055784	-25,40894907
-54,003062305	-25,408960757
-54,003068599	-25,40897268
-54,003074003	-25,408984436
-54,00308034	-25,408995706
-54,003087701	-25,409007802
-54,003093624	-25,409019617
-54,003101396	-25,409031598
-54,003107515	-25,409043949
-54,003114363	-25,409056222
-54,003121059	-25,409067091
-54,003127898	-25,409078495
-54,003134119	-25,409090333
-54,003144772	-25,409094058
-54,003151233	-25,40910542
-54,003157013	-25,409116712
-54,003163616	-25,409127995
-54,003170634	-25,409138882
-54,003177471	-25,409150242
-54,003184425	-25,409161461
-54,003190996	-25,40917299
-54,003198179	-25,409184596
-54,003205895	-25,409196204
-54,003213004	-25,409207438
-54,003219981	-25,409218903
-54,003228236	-25,409230152
-54,003234561	-25,409242396
-54,003241368	-25,409253832
-54,003248397	-25,409265478
-54,003255562	-25,409277194
-54,003263297	-25,409289399
-54,003270726	-25,409301634
-54,003277339	-25,409314162
-54,00328467	-25,409326318
-54,00329184	-25,409338567
-54,003299191	-25,409350659
-54,003306442	-25,40936323
-54,003313888	-25,40937548
-54,003320984	-25,40938752
-54,003326435	-25,409403691
-54,003334112	-25,409416907
-54,003340502	-25,409428232
-54,00334673	-25,409439028
-54,003352809	-25,409451197
-54,003359377	-25,409463881
-54,003366061	-25,409475903
-54,00337626	-25,409481661
-54,003384069	-25,409494069
-54,003390394	-25,409505514
-54,003397628	-25,409517087
-54,003403971	-25,409527858
-54,003409946	-25,409537573
-54,003415386	-25,409548023
-54,003421489	-25,409560313
-54,003429647	-25,409574708
-54,003437894	-25,409588298
-54,003446158	-25,409600977
-54,003454289	-25,409613745
-54,003461536	-25,409626486
-54,003468472	-25,409638822
-54,003477068	-25,40965106
-54,003484586	-25,409662707
-54,003490983	-25,409674563
-54,003500754	-25,409684237
-54,003510019	-25,40969344
-54,003519233	-25,409704641
-54,003525784	-25,409716175
-54,003533263	-25,40972613
-54,003541458	-25,409735088
-54,003549789	-25,409742446
-54,0035564	-25,409748807
-54,003563813	-25,409748719
-54,003568716	-25,409742072
-54,0035715	-25,40973344
-54,003581892	-25,409727677
-54,00359269	-25,409720401
-54,003604679	-25,409715283
-54,003614353	-25,409718495
-54,003626201	-25,409710515
-54,003639133	-25,40970448
-54,003652073	-25,409699476
-54,003664058	-25,409693974
-54,003677299	-25,409687738
-54,003690026	-25,409681587
-54,003702889	-25,409675816
-54,00371435	-25,409670758
-54,003725826	-25,409665025
-54,003737486	-25,409659716
-54,003749442	-25,40965411
-54,003760769	-25,409648019
-54,003772408	-25,409642737
-54,003786003	-25,409635652
-54,00379855	-25,409629115
-54,003810414	-25,409622512
-54,003822799	-25,409616069
-54,003834194	-25,409610639
-54,003846409	-25,409605491
-54,003858536	-25,409599994
-54,003871081	-25,409594539
-54,003882546	-25,409588795
-54,003894128	-25,409582801
-54,003905548	-25,409577954
-54,003917398	-25,409572013
-54,003928886	-25,409566797
-54,00394051	-25,409561427
-54,003952674	-25,409556634
-54,003963856	-25,409552105
-54,003975428	-25,409546939
-54,003987728	-25,409542073
-54,003997911	-25,409537353
-54,004008389	-25,409533297
-54,004019932	-25,409528639
-54,004032184	-25,409523114
-54,004044288	-25,409517251
-54,004056551	-25,409511895
-54,004069006	-25,409506142
-54,004081182	-25,409500535
-54,004093861	-25,409494794
-54,004105922	-25,409490546
-54,00411668	-25,409485988
-54,004128658	-25,409480941
-54,004141562	-25,409475441
-54,004155521	-25,409470524
-54,004168707	-25,409464542
-54,004182321	-25,409459485
-54,004195053	-25,409453154
-54,004208427	-25,409446043
-54,004220889	-25,409439435
-54,004233857	-25,409433435
-54,004246991	-25,409427281
-54,004260545	-25,409420151
-54,004273242	-25,409414466
-54,00428423	-25,409410016
-54,004296624	-25,409403748
-54,004310836	-25,409396762
-54,004324427	-25,409389024
-54,004336965	-25,409383569
-54,004349214	-25,409377399
-54,004362277	-25,4093712
-54,004373993	-25,409364999
-54,004386318	-25,409358703
-54,004398211	-25,409353467
-54,004410373	-25,409346929
-54,004423322	-25,409340768
-54,004434904	-25,409333866
-54,004447035	-25,409327415
-54,004460208	-25,409321487
-54,004472741	-25,409315136
-54,004485184	-25,409308056
-54,004498745	-25,409301532
-54,004511388	-25,409295009
-54,004524057	-25,409288867
-54,004535979	-25,409282554
-54,004548283	-25,409275793
-54,004560886	-25,409269807
-54,004572874	-25,40926371
-54,004586677	-25,409257294
-54,004599621	-25,409251751
-54,004612789	-25,409245274
-54,004626218	-25,409239392
-54,004639108	-25,409233713
-54,004652569	-25,409227281
-54,004665795	-25,409221015
-54,004679027	-25,409214227
-54,004691949	-25,409208542
-54,00470568	-25,409202568
-54,004719722	-25,409196697
-54,004732741	-25,409191425
-54,004745816	-25,409185838
-54,004758728	-25,409179454
-54,004771298	-25,409173225
-54,004784056	-25,409167994
-54,004796703	-25,40916211
-54,004809449	-25,409156926
-54,004821631	-25,409151203
-54,004833862	-25,409145803
-54,004846715	-25,409140106
-54,004858869	-25,409134309
-54,004872421	-25,409127782
-54,004885833	-25,409121052
-54,004899241	-25,409115372
-54,004912414	-25,409109586
-54,00492572	-25,409103237
-54,004938124	-25,40909751
-54,004950481	-25,409091226
-54,004963344	-25,409085404
-54,004976833	-25,40907965
-54,004989817	-25,409073627
-54,005002933	-25,40906773
-54,005017213	-25,409061336
-54,005031435	-25,409053897
-54,005044002	-25,409047883
-54,005057303	-25,4090426
-54,005070113	-25,409036247
-54,005082394	-25,409029864
-54,005095707	-25,409023407
-54,005109593	-25,409017618
-54,005122522	-25,409011284
-54,005135353	-25,409004676
-54,005148604	-25,408998049
-54,005161803	-25,408991646
-54,005175216	-25,408985372
-54,005188009	-25,408979066
-54,00520148	-25,408972247
-54,005214044	-25,408965912
-54,005227415	-25,408959412
-54,005240486	-25,408953625
-54,005252696	-25,408947395
-54,00526553	-25,408941723
-54,005277843	-25,408935311
-54,005290136	-25,408929924
-54,005303718	-25,408923591
-54,005316541	-25,4089174
-54,005329083	-25,408910668
-54,005341448	-25,40890465
-54,005353823	-25,408897375
-54,005365778	-25,408889868
-54,005379795	-25,408883594
-54,005392291	-25,408877896
-54,005404451	-25,408872719
-54,005416893	-25,408867662
-54,0054268	-25,408862162
-54,005439972	-25,408858854
-54,005451869	-25,408856733
-54,00546312	-25,408853748
-54,005472612	-25,408849185
-54,00548545	-25,408845447
-54,005495823	-25,408839087
-54,005507517	-25,408832004
-54,005519215	-25,408824659
-54,005531694	-25,408816531
-54,005544337	-25,408808577
-54,005557788	-25,408801255
-54,005571322	-25,408794571
-54,005584647	-25,408788544
-54,005597163	-25,408782627
-54,005609921	-25,408776517
-54,005622889	-25,408770809
-54,005635705	-25,408765446
-54,005649182	-25,408758809
-54,005661893	-25,408752125
-54,005674951	-25,408745635
-54,005687882	-25,408739182
-54,005701305	-25,408732983
-54,005713939	-25,408726715
