Longitude,Latitude,DeepEca
-84.8905868,31.03767,4.4
-84.8906234,31.037675,5
-84.8906616,31.03768,6
-84.8907001,31.0376866,5.1
-84.8907384,31.037695,5.2
-84.8907768,31.0377016,6.5
-84.8908151,31.03771,7.1
-84.8908534,31.0377166,7.1
-84.8908901,31.0377266,6.1
-84.8909266,31.0377366,5.9
-84.8909634,31.0377466,7.4
-84.891,31.0377583,8.2
-84.8910351,31.03777,8.9
-84.8910718,31.0377816,7.2
-84.891105,31.0377916,6.1
-84.8911368,31.0378016,5.1
-84.8911718,31.0378133,6.2
-84.8912051,31.0378233,6.5
-84.8912384,31.0378366,6.9
-84.89127,31.0378483,8.1
-84.8912984,31.03786,9
-84.8913268,31.0378733,9.5
-84.89135,31.0378883,9.5
-84.89137,31.0379033,9.2
-84.891385,31.0379233,9.3
-84.8913984,31.0379433,10.1
-84.8914068,31.0379633,9
-84.89141,31.0379833,9.4
-84.8914084,31.0380033,12.3
-84.8914016,31.0380233,13.1
-84.8913101,31.0380583,7.6
-84.8912868,31.0380516,8.8
-84.8912633,31.0380433,7.6
-84.8912418,31.038035,5.9
-84.8912168,31.038025,6.3
-84.8911918,31.038015,7.2
-84.8911633,31.0380066,6.1
-84.8911334,31.0379966,6.9
-84.8911016,31.0379883,8.7
-84.89107,31.03798,8.1
-84.8910351,31.0379733,8.3
-84.8910016,31.037965,10.7
-84.8909652,31.0379566,10.2
-84.8909284,31.037945,9
-84.8908868,31.0379333,7.4
-84.8908466,31.0379216,7
-84.8908066,31.0379116,7.4
-84.8907684,31.0378999,7.4
-84.89073,31.0378916,7.7
-84.8906918,31.0378833,8
-84.8906534,31.0378766,6.8
-84.8906134,31.03787,5.5
-84.8905734,31.037865,5.2
-84.8905334,31.03786,4.8
-84.890495,31.037855,4.1
-84.8904551,31.03785,3.7
-84.8904168,31.0378466,3.4
-84.8903784,31.0378433,3.8
-84.8903418,31.0378416,4.3
-84.8903083,31.0378433,5.5
-84.890275,31.0378483,4.7
-84.8902418,31.0378566,5.3
-84.8902101,31.0378683,5.8
-84.8901834,31.0378849,5.6
-84.8901584,31.0379066,4.6
-84.8901383,31.03793,3.8
-84.8901234,31.0379566,2.8
-84.8901168,31.037985,3.8
-84.8901151,31.038015,4.1
-84.8901151,31.038045,4.2
-84.8901133,31.0380783,4.1
-84.8901133,31.0381133,6.2
-84.8901133,31.0381466,7.5
-84.8901133,31.0381833,9.3
-84.8901118,31.03822,7.3
-84.8901101,31.0382566,5
-84.8901101,31.0382916,5
-84.8901101,31.0383283,5.6
-84.8901084,31.038365,5.7
-84.8901084,31.0384016,6.2
-84.8901066,31.0384366,5.7
-84.8901034,31.038475,5.9
-84.8901034,31.0385116,5.9
-84.8901016,31.0385466,6.1
-84.8900984,31.0385833,5.8
-84.8900952,31.0386199,6.4
-84.8900952,31.038655,6.5
-84.8900918,31.0386916,6.5
-84.8900901,31.0387283,7.7
-84.8900884,31.038765,8.2
-84.8900851,31.0388016,8.5
-84.8900833,31.0388366,8.6
-84.8900818,31.0388733,8.3
-84.8900802,31.0389116,6.8
-84.8900802,31.0389466,6.1
-84.8900766,31.0389816,6.7
-84.890075,31.0390183,6.4
-84.8900734,31.0390566,6.7
-84.8900718,31.0390933,6.9
-84.8900684,31.03913,6.6
-84.8900651,31.0391666,5.8
-84.8900634,31.039205,6.3
-84.8900601,31.0392416,6.9
-84.8900584,31.0392766,5.7
-84.890055,31.0393133,6.6
-84.8900534,31.0393483,8.1
-84.8900516,31.0393833,7.1
-84.8900483,31.0394183,6.4
-84.8900468,31.0394533,6
-84.8900434,31.0394883,6
-84.8900418,31.0395233,6.2
-84.8900401,31.0395583,6.6
-84.8900384,31.0395933,7.2
-84.8900368,31.0396283,8.7
-84.890035,31.0396633,6.5
-84.8900318,31.0396983,6.3
-84.8900318,31.0397333,7.1
-84.8900333,31.0397666,5.4
-84.8900318,31.0398033,6.1
-84.8900318,31.0398383,6.2
-84.8900318,31.0398716,6.5
-84.8900318,31.0399066,6
-84.89003,31.03994,6.3
-84.8900284,31.039975,8.3
-84.890025,31.0400099,6.3
-84.8900216,31.0400433,6.3
-84.89002,31.0400783,4.1
-84.8900168,31.0401133,5.5
-84.8900168,31.0401483,6.8
-84.8900151,31.0401833,6.2
-84.8900116,31.0402183,6.2
-84.8900101,31.0402533,7.5
-84.8900084,31.0402883,8.4
-84.8900051,31.0403233,8.8
-84.8900034,31.0403583,8.7
-84.8900018,31.0403933,7.9
-84.8899984,31.0404266,8.9
-84.8899968,31.0404616,6.5
-84.8899934,31.040495,6.3
-84.8899918,31.04053,5.6
-84.8899899,31.040565,6
-84.8899899,31.0406,6.2
-84.8899899,31.0406333,6.5
-84.8899899,31.0406683,7.3
-84.8899899,31.0407033,9.1
-84.8899899,31.0407383,8.2
-84.8899899,31.0407716,8.2
-84.8899884,31.0408066,7.9
-84.8899868,31.0408416,6.7
-84.889985,31.0408766,8.4
-84.8899868,31.04091,8
-84.8899868,31.040945,8.1
-84.8899868,31.04098,8.6
-84.8899868,31.041015,8.6
-84.889985,31.04105,7.6
-84.8899833,31.041085,6.9
-84.8899818,31.04112,6.2
-84.8899784,31.0411533,5.7
-84.8899768,31.0411883,5.8
-84.889975,31.0412233,6.5
-84.8899734,31.0412583,8.2
-84.8899734,31.0412933,9.2
-84.8899716,31.0413283,10.7
-84.8899734,31.0413633,9.4
-84.889975,31.0413983,11
-84.889975,31.0414333,12.4
-84.8899768,31.0414683,13.8
-84.8899768,31.0415033,12.6
-84.8899784,31.0415383,10.2
-84.8899801,31.0415733,9.5
-84.8899833,31.041605,11.1
-84.8899868,31.0416366,8.8
-84.8899934,31.0416683,11.7
-84.8900018,31.0417,7.9
-84.8900116,31.04173,6.8
-84.8900234,31.0417566,6
-84.8900368,31.041785,4.2
-84.8900534,31.0418116,4.1
-84.8900734,31.0418366,4.8
-84.8900968,31.0418583,5.3
-84.8901218,31.0418783,5.5
-84.89015,31.0418916,6.9
-84.8901801,31.0419033,5.6
-84.8902118,31.0419066,5
-84.8902418,31.0419066,4.2
-84.8902702,31.0419016,4.9
-84.890295,31.041895,5.4
-84.8903183,31.0418833,5.5
-84.8903418,31.0418683,4.1
-84.8903668,31.0418516,5.1
-84.8903916,31.04183,4.9
-84.8904151,31.0418066,5.6
-84.8904401,31.0417833,6.3
-84.8904668,31.04176,7
-84.890495,31.041735,6.2
-84.89052,31.04171,5.1
-84.890545,31.041685,4.2
-84.8905718,31.0416616,5.3
-84.8905984,31.0416366,5.6
-84.8906234,31.0416133,5.1
-84.8906468,31.0415883,6.7
-84.8906718,31.041565,6.1
-84.8906952,31.0415433,7.8
-84.89072,31.0415233,7.9
-84.8907434,31.0415033,8.3
-84.8907668,31.0414816,8.5
-84.8907901,31.04146,7.8
-84.8908133,31.0414383,7.1
-84.8908368,31.0414166,6.7
-84.8908616,31.041395,4.6
-84.8908883,31.0413733,4.6
-84.8909134,31.0413516,4.4
-84.8909401,31.0413283,4.3
-84.8909668,31.0413066,3.6
-84.8909934,31.041285,3
-84.8910202,31.0412633,3.2
-84.8910468,31.04124,3.6
-84.8910734,31.04122,4.7
-84.8911016,31.0412,4.9
-84.8911268,31.04118,4
-84.8911534,31.0411583,2.6
-84.89118,31.041135,2.5
-84.8912051,31.0411116,1.9
-84.8912316,31.0410883,1.7
-84.8912583,31.041065,2
-84.8912833,31.0410433,2.8
-84.8913085,31.04102,2.7
-84.8913349,31.0409966,3.8
-84.8913602,31.040975,3.8
-84.891385,31.0409516,3.1
-84.8914118,31.0409283,2.7
-84.8914384,31.040905,2.9
-84.8914651,31.0408833,4.3
-84.8914918,31.0408616,6.3
-84.8915168,31.0408383,5.1
-84.8915418,31.0408133,5
-84.8915683,31.04079,8.3
-84.8915934,31.0407666,8.3
-84.8916184,31.0407433,8.9
-84.8916434,31.04072,6.9
-84.8916684,31.040695,6.9
-84.8916934,31.0406716,6.3
-84.89172,31.0406483,7.5
-84.8917466,31.0406266,6.9
-84.8917718,31.0406033,9
-84.8917968,31.04058,7.4
-84.8918234,31.0405566,7.2
-84.8918484,31.0405333,10
-84.8918751,31.0405116,7.1
-84.8919034,31.04049,7
-84.8919316,31.04047,6
-84.8919618,31.0404516,7.1
-84.8919918,31.0404333,5.3
-84.8920218,31.0404166,8.1
-84.8920535,31.0404,7.9
-84.892085,31.0403833,6.6
-84.8921151,31.0403683,8.3
-84.8921434,31.0403516,14.2
-84.89217,31.0403333,15.8
-84.8921968,31.040315,7.8
-84.8922234,31.040295,6
-84.89225,31.0402716,5.5
-84.8922766,31.04025,5.7
-84.892305,31.0402283,5.1
-84.8923333,31.0402083,5.3
-84.8923634,31.0401883,6.5
-84.8923934,31.0401666,6.5
-84.8924218,31.0401483,5.7
-84.8924518,31.04013,5.1
-84.8924818,31.0401116,5.9
-84.8925116,31.0400916,6.9
-84.8925418,31.0400716,6.2
-84.8925718,31.0400516,5.7
-84.8926016,31.04003,6.9
-84.89263,31.0400099,6.5
-84.8926583,31.0399916,6.5
-84.8926868,31.0399716,5.6
-84.8927168,31.03995,5.2
-84.892745,31.03993,4.9
-84.8927734,31.03991,5.5
-84.8928051,31.03989,6.3
-84.892835,31.03987,7
-84.8928651,31.0398516,3.7
-84.8928952,31.0398316,2.6
-84.8929251,31.0398133,3.3
-84.892955,31.0397933,4.1
-84.8929852,31.039775,5.2
-84.8930151,31.039755,4.4
-84.8930434,31.039735,4.8
-84.8930718,31.0397166,4.5
-84.8931034,31.0396966,5.6
-84.8931334,31.0396783,6.5
-84.8931618,31.0396583,7.5
-84.8931901,31.0396383,5.9
-84.8932218,31.0396216,4.5
-84.8932518,31.0396033,4.6
-84.8932819,31.0395866,4.2
-84.8933118,31.0395683,4.9
-84.8933418,31.03955,4.7
-84.8933718,31.03953,4
-84.8934034,31.0395116,3.7
-84.8934318,31.0394916,3
-84.8934616,31.0394733,3.6
-84.8934901,31.039455,4
-84.8935184,31.039435,6.4
-84.8935483,31.039415,5.8
-84.8935768,31.039395,6.5
-84.8936069,31.0393766,6.1
-84.8936366,31.0393566,6.1
-84.8936668,31.0393383,6
-84.8936968,31.03932,5.8
-84.893725,31.0393,5.4
-84.8937551,31.03928,6.2
-84.8937851,31.0392616,5.6
-84.8938149,31.0392433,6.1
-84.893845,31.0392233,5.2
-84.8938766,31.039205,5.6
-84.893905,31.039185,5.3
-84.893935,31.039165,6.6
-84.8939652,31.0391466,6.2
-84.8939952,31.0391283,6.5
-84.8940266,31.0391083,6.5
-84.8940551,31.03909,6
-84.8940851,31.03907,7
-84.8941151,31.03905,7.3
-84.8941401,31.0390316,7.8
-84.8941684,31.0390116,8.3
-84.8941984,31.0389933,6.1
-84.89423,31.038975,7.1
-84.8942601,31.0389566,8.3
-84.8942918,31.0389383,6.9
-84.8943218,31.0389199,9
-84.89435,31.0389,7.1
-84.8943801,31.03888,7
-84.8944101,31.03886,6.8
-84.8944401,31.03884,7
-84.8944718,31.03882,6.9
-84.8945018,31.0388,5.9
-84.8945301,31.03878,5.9
-84.89456,31.0387616,5.7
-84.8945901,31.0387416,5.9
-84.8946183,31.0387216,6.5
-84.8946484,31.0387033,5.6
-84.8946784,31.0386833,5.8
-84.8947101,31.038665,6.1
-84.8947384,31.038645,6.5
-84.8947684,31.038625,7
-84.8947952,31.038605,7.2
-84.8948234,31.0385833,5.9
-84.8948516,31.0385633,5.7
-84.89488,31.0385416,5.6
-84.8949084,31.0385216,5.3
-84.8949384,31.0385016,6.5
-84.8949668,31.03848,6.2
-84.8949968,31.03846,7.3
-84.8950251,31.03844,7.4
-84.895055,31.03842,7.4
-84.8950851,31.0384,7.6
-84.8951151,31.03838,9.4
-84.895145,31.03836,8
-84.8951734,31.0383383,8.1
-84.8952034,31.0383183,7.4
-84.8952316,31.0382966,7.2
-84.89526,31.038275,5.8
-84.8952866,31.0382533,7.4
-84.8953151,31.0382316,9
-84.8953434,31.0382116,8.4
-84.8953718,31.03819,9.2
-84.8954,31.0381699,9.6
-84.89543,31.03815,9.9
-84.8954568,31.03813,8.9
-84.895485,31.03811,9
-84.8955118,31.03809,10
-84.8955402,31.0380683,8.7
-84.8955668,31.0380466,8.6
-84.8955918,31.0380233,8.5
-84.8956166,31.0379983,6.5
-84.8956384,31.03797,7.2
-84.8956583,31.0379416,8.3
-84.8956734,31.0379116,8.7
-84.8956851,31.03788,4.1
-84.8956884,31.0378483,8.5
-84.8956768,31.0377833,9
-84.8956634,31.0377516,6.5
-84.8956468,31.0377233,7.8
-84.8956284,31.037695,7.7
-84.8956116,31.037665,6.9
-84.8955934,31.0376366,7
-84.8955768,31.0376066,6.9
-84.8955616,31.0375783,6.9
-84.895545,31.03755,6.4
-84.8955316,31.03752,6.5
-84.8955151,31.0374916,5.7
-84.8955018,31.0374616,5.7
-84.895485,31.0374333,6
-84.8954684,31.037405,6.5
-84.8954516,31.0373766,7.3
-84.8954351,31.0373466,7
-84.89542,31.0373183,6.9
-84.8954051,31.0372916,7.3
-84.8953899,31.0372616,7.5
-84.8953751,31.0372316,6.8
-84.8953601,31.0372016,7.3
-84.895345,31.0371733,6.2
-84.8953301,31.0371433,6.7
-84.8953151,31.037115,6.2
-84.8952984,31.0370866,5
-84.8952816,31.0370583,4.4
-84.8952651,31.03703,4.7
-84.8952484,31.0370016,4.3
-84.8952301,31.0369716,4.9
-84.8952118,31.036945,6.9
-84.8951934,31.0369166,8.6
-84.8951766,31.0368883,11.3
-84.89516,31.03686,10.6
-84.895145,31.0368333,12.4
-84.8951284,31.036805,7.1
-84.8951118,31.0367766,6.4
-84.8950968,31.0367483,5.3
-84.89508,31.03672,4.9
-84.8950651,31.0366916,3.7
-84.89505,31.0366616,4
-84.8950368,31.0366333,4.8
-84.8950218,31.0366033,5.1
-84.8950084,31.0365733,5.1
-84.8949934,31.0365433,5.5
-84.8949784,31.0365133,5.7
-84.8949634,31.0364833,6.5
-84.8949484,31.036455,6.6
-84.8949334,31.0364249,6
-84.8949166,31.0363966,5.8
-84.8949016,31.0363683,5.5
-84.8948868,31.03634,5.1
-84.8948716,31.0363116,5.4
-84.894855,31.0362816,5.9
-84.8948402,31.0362533,5.6
-84.8948234,31.036225,5.7
-84.8948084,31.036195,5.2
-84.8947934,31.0361666,4.8
-84.8947766,31.0361383,5
-84.8947601,31.0361099,4.9
-84.8947434,31.03608,4.8
-84.8947284,31.0360516,4.7
-84.8947118,31.0360216,4.6
-84.8946968,31.0359933,7
-84.8946801,31.035965,5.7
-84.8946652,31.0359349,5.6
-84.8946503,31.0359066,5.9
-84.8946351,31.0358766,5.9
-84.89462,31.0358483,5.4
-84.8946034,31.0358183,6.2
-84.8945868,31.03579,5.8
-84.89457,31.0357599,5.3
-84.8945534,31.0357316,4.8
-84.8945384,31.0357016,4.6
-84.8945218,31.0356733,4.1
-84.8945068,31.035645,4.2
-84.8944901,31.0356166,4
-84.8944734,31.0355866,4.5
-84.8944568,31.0355583,4.6
-84.8944418,31.03553,5.6
-84.8944266,31.0355016,5.3
-84.8944101,31.0354716,5.9
-84.894395,31.0354433,6.7
-84.8943784,31.0354166,6.8
-84.8943634,31.0353883,6.8
-84.8943466,31.0353583,6.5
-84.8943301,31.03533,6.8
-84.8943133,31.0353016,7.2
-84.8942968,31.0352766,8
