X Location,Y Location,EC_SH,EC_DP,ELEV_Ft
-86.1469833,31.2791967,1.5,1.5,76.5
-86.146975,31.2791933,1.9,1.8,76.4
-86.146965,31.2791916,1.7,2.1,76.3
-86.1469166,31.2791833,3.8,3.6,76.3
-86.1468933,31.27918,4.9,4,76.2
-86.1468683,31.2791783,4.2,4.1,76
-86.14684,31.2791767,3.9,3.3,75.8
-86.1468066,31.279175,3.8,3.1,75.6
-86.1467716,31.2791716,3.9,3.3,75.3
-86.1467366,31.2791683,4.1,3.8,75.1
-86.1467033,31.2791667,4.5,3.7,74.9
-86.1465633,31.279155,4.1,3.1,74.8
-86.1465266,31.2791516,3.8,3.1,74.7
-86.1463416,31.2791367,4.1,3.7,74.1
-86.1461616,31.2791233,3.9,3.5,73.2
-86.146125,31.27912,4.1,3.8,73
-86.14609,31.279115,4.3,4.2,72.9
-86.1460533,31.2791117,5.1,4.3,72.8
-86.1460133,31.2791083,3.5,3,72.6
-86.1458583,31.2791,3.2,3,72.2
-86.1458233,31.2790967,3.2,3.3,72.2
-86.1454716,31.2790733,3.6,3.3,70.9
-86.1449266,31.279035,4.3,3.3,69.1
-86.1447016,31.2788983,3.7,3.4,68.5
-86.144715,31.2788967,4.2,3.9,68.4
-86.1447233,31.2788967,3.9,4.1,68.4
-86.1447266,31.2788967,4.5,4.2,68.4
-86.1447366,31.2788983,5.2,4.3,68.5
-86.1447549,31.2788983,5.5,4.6,68.6
-86.14485,31.2789017,4,3.4,69
-86.1450833,31.278915,3.9,2.7,69.9
-86.14553,31.2789466,3.9,3.3,70.6
-86.1455733,31.2789483,4.1,3.6,70.7
-86.145615,31.27895,4.3,-4,70.8
-86.145655,31.2789533,3.4,3.2,70.9
-86.1456933,31.278955,3.5,3,71.1
-86.1457316,31.2789567,3.7,-4,71.3
-86.1457666,31.27896,3.4,2.6,71.5
-86.1460266,31.2789816,3.7,3.3,72.7
-86.1465,31.2790233,4.5,3.9,74.8
-86.146685,31.2790383,3.9,3.4,76.1
-86.1467233,31.2790417,4.4,4.2,76.1
-86.14676,31.2790433,4.4,-4,76.2
-86.1467966,31.2790466,3.8,3.2,76.4
-86.1468333,31.2790483,3.8,3.5,76.6
-86.1468683,31.2790516,4.6,3.8,76.7
-86.1468933,31.2790533,3.8,3.8,76.6
-86.146905,31.279055,4.3,3.9,76.6
-86.1469783,31.2789633,1.9,1.1,76.8
-86.146965,31.278955,1.7,1.8,76.7
-86.1469533,31.27895,2.2,1.9,76.8
-86.1469416,31.2789449,2,2,76.7
-86.1469283,31.2789416,2.2,2.4,76.5
-86.14691,31.2789367,3.3,3.3,76.4
-86.1468833,31.2789333,3.9,3.5,76.2
-86.14685,31.27893,3.6,3.5,76
-86.1468133,31.2789283,4.3,4.2,75.8
-86.1467766,31.2789266,4.1,3.9,75.8
-86.1467383,31.278925,3.3,-4,75.9
