X		 ,Y			,Z
650011.64,4347607.41,80.25
650000.02,4347607.21,73.88
650008.34,4347607.39,85.63
650005.81,4347607.37,77.25
650000.09,4347607.31,73.13
650000.46,4347607.32,75.88
650011.69,4347607.55,80.25
649993.13,4347607.22,64.13
649995.84,4347607.30,73.38
650008.41,4347607.55,86.50
650005.90,4347607.51,76.88
650000.17,4347607.42,70.38
650011.75,4347607.70,78.63
650000.53,4347607.50,76.75
649993.21,4347607.41,67.50
650005.98,4347607.65,75.63
650008.48,4347607.71,86.25
649995.91,4347607.47,74.25
650000.29,4347607.62,71.13
650011.80,4347607.85,81.75
650000.61,4347607.68,78.00
650006.05,4347607.78,77.25
650008.56,4347607.87,85.00
649993.28,4347607.59,68.63
650000.32,4347607.75,72.38
649995.99,4347607.67,75.38
650011.86,4347608.00,82.38
650006.13,4347607.92,77.13
650000.69,4347607.86,79.00
650008.63,4347608.03,85.38
650000.35,4347607.87,74.25
649993.36,4347607.78,70.25
650011.92,4347608.15,81.75
649996.07,4347607.86,76.13
650006.21,4347608.06,76.50
650000.38,4347607.99,75.88
650008.71,4347608.19,84.25
650000.77,4347608.04,81.88
649993.46,4347607.92,75.63
650006.29,4347608.21,78.50
650000.41,4347608.12,75.13
649996.14,4347608.04,77.38
649993.55,4347608.04,78.13
650000.86,4347608.23,80.00
650006.37,4347608.35,79.00
650000.44,4347608.24,74.88
649989.94,4347608.08,70.88
649988.89,4347608.06,64.00
649993.65,4347608.18,80.13
649996.22,4347608.23,76.63
650000.46,4347608.35,78.00
650006.44,4347608.48,79.75
650012.08,4347608.61,83.50
650000.94,4347608.41,80.25
649990.03,4347608.22,71.63
650008.87,4347608.58,83.13
649993.75,4347608.32,80.38
650000.49,4347608.47,75.75
649988.00,4347608.26,63.50
649983.81,4347608.16,54.38
649996.30,4347608.42,78.25
650006.52,4347608.62,81.38
649990.13,4347608.37,72.63
649984.99,4347608.27,54.25
649993.86,4347608.45,80.50
650012.15,4347608.80,83.25
650008.96,4347608.80,81.25
649989.10,4347608.43,65.75
649996.38,4347608.61,78.63
649993.96,4347608.59,81.75
649983.91,4347608.40,58.38
649990.24,4347608.52,73.00
650000.55,4347608.72,79.38
649985.02,4347608.45,56.88
650012.22,4347608.99,85.75
650009.04,4347608.00,79.88
649994.05,4347608.71,80.88
650001.11,4347608.85,80.50
649989.20,4347608.63,67.13
650000.59,4347608.86,79.25
649990.34,4347608.68,75.25
650006.76,4347609.06,82.75
649985.06,4347608.65,58.63
650012.29,4347609.17,84.88
649984.01,4347608.65,60.25
649994.15,4347608.85,80.38
650000.63,4347608.99,80.25
649989.31,4347608.82,73.00
650009.12,4347609.21,80.00
649990.42,4347608.87,76.88
649996.55,4347608.99,79.63
650001.20,4347609.09,82.50
649994.27,4347608.98,83.25
650000.66,4347609.13,81.63
650012.36,4347609.36,85.63
649985.09,4347608.84,61.50
650006.84,4347609.27,83.88
649989.36,4347608.97,78.38
649984.11,4347608.89,63.13
649994.42,4347609.10,84.50
649990.51,4347609.07,77.50
650000.70,4347609.27,81.00
650009.21,4347609.43,77.88
649996.63,4347609.19,81.00
650012.43,4347609.55,86.50
650001.28,4347609.34,83.50
649989.41,4347609.11,85.63
649985.13,4347609.04,61.75
649994.56,4347609.22,83.00
650006.93,4347609.49,83.38
650000.74,4347609.40,82.25
649984.21,4347609.13,61.25
649990.59,4347609.26,77.25
649994.70,4347609.34,81.25
649989.45,4347609.25,90.38
649996.72,4347609.39,80.88
650009.30,4347609.65,77.75
650012.49,4347609.73,87.00
649985.16,4347609.23,65.38
650000.77,4347609.54,77.63
650007.01,4347609.68,83.50
650001.37,4347609.58,84.38
649994.84,4347609.46,82.63
649989.49,4347609.39,91.63
649984.30,4347609.33,62.75
649996.80,4347609.57,81.63
649990.68,4347609.46,78.38
650000.81,4347609.68,83.13
649994.98,4347609.58,83.13
650009.38,4347609.86,77.38
649985.19,4347609.41,71.25
649989.54,4347609.54,89.13
650007.09,4347609.89,84.63
649984.39,4347609.47,62.75
650001.46,4347609.83,85.00
649995.13,4347609.71,83.63
649996.89,4347609.76,84.13
649990.76,4347609.65,80.00
650012.63,4347610.10,86.50
649989.58,4347609.69,88.00
649985.23,4347609.61,74.50
650009.47,4347610.08,78.00
649984.48,4347609.61,62.25
649995.27,4347609.83,84.00
650007.18,4347610.10,83.88
649996.98,4347609.96,84.75
650001.55,4347610.05,84.13
650012.69,4347610.26,86.75
649989.63,4347609.83,84.63
649990.85,4347609.85,81.00
649995.41,4347609.95,83.13
649984.58,4347609.76,66.25
649985.26,4347609.80,78.75
650009.55,4347610.28,77.38
649980.96,4347609.80,64.88
650012.74,4347610.41,86.25
649989.67,4347609.97,78.13
650007.27,4347610.31,84.13
649984.66,4347609.89,69.38
650000.98,4347610.22,85.38
649997.06,4347610.16,85.25
649990.94,4347610.05,84.25
650001.63,4347610.29,85.13
649985.32,4347609.99,82.00
650009.64,4347610.48,78.00
649989.72,4347610.11,81.00
649984.75,4347610.03,71.88
650012.80,4347610.58,85.63
649989.74,4347610.15,79.00
649981.02,4347609.99,66.50
650001.05,4347610.37,85.63
649989.75,4347610.17,84.38
649989.77,4347610.19,86.75
649989.78,4347610.21,88.00
649997.15,4347610.35,85.38
649991.03,4347610.25,86.00
649989.80,4347610.23,87.00
649989.81,4347610.25,87.50
649985.40,4347610.17,79.63
649995.89,4347610.37,88.50
649989.82,4347610.26,89.00
649984.84,4347610.18,74.63
649989.84,4347610.28,91.00
650001.13,4347610.51,84.75
650009.73,4347610.68,78.63
650012.86,4347610.74,85.63
649989.87,4347610.33,93.63
649981.07,4347610.16,66.00
649989.89,4347610.36,90.25
650007.43,4347610.70,83.63
649989.92,4347610.40,87.38
649991.11,4347610.43,86.00
649984.94,4347610.32,75.63
649985.47,4347610.35,83.38
649989.95,4347610.43,84.75
650001.20,4347610.65,82.50
650012.92,4347610.91,88.38
649989.98,4347610.47,85.63
650009.81,4347610.87,80.25
649990.00,4347610.50,87.13
649996.13,4347610.63,89.50
649981.12,4347610.34,67.38
650007.50,4347610.86,84.63
649990.03,4347610.54,91.50
649985.02,4347610.46,77.88
649990.05,4347610.57,92.50
650001.28,4347610.80,85.63
649997.30,4347610.74,89.63
649990.08,4347610.61,91.25
649985.54,4347610.52,84.38
650012.98,4347611.07,88.88
650007.58,4347611.03,83.63
650009.90,4347611.07,80.75
649981.17,4347610.53,71.13
649985.11,4347610.60,81.38
650001.36,4347610.95,86.00
650001.88,4347610.97,85.63
649996.38,4347610.88,91.88
649985.62,4347610.71,84.88
650013.05,4347611.24,90.38
649990.20,4347610.81,85.88
649997.38,4347610.94,89.88
649991.29,4347610.84,88.63
