Mark 21-0	2006	
 * LORIS Grid Values - Longitude	 Latitude numbers are [DD.dddd] degrees in WGS84 coordinates * 	
Longitude	 Latitude	 Value 
10.502.591	55.166.584	35.019.198
10.502.748	55.166.584	29.828.770
10.502.905	55.166.584	39.731.781
10.503.062	55.166.584	40.561.125
10.503.219	55.166.584	42.066.364
10.503.376	55.166.584	41.018.312
10.502.277	55.166.673	40.571.769
10.502.434	55.166.673	37.913.824
10.502.591	55.166.673	36.024.001
10.502.748	55.166.673	35.897.093
10.502.905	55.166.673	38.526.241
10.503.062	55.166.673	39.682.753
10.503.219	55.166.673	42.474.785
10.503.376	55.166.673	41.620.534
10.503.533	55.166.673	39.124.654
10.501.964	55.166.763	43.764.550
10.502.120	55.166.763	43.187.791
10.502.277	55.166.763	41.343.015
10.502.434	55.166.763	38.393.158
10.502.591	55.166.763	37.004.909
10.502.748	55.166.763	37.384.342
10.502.905	55.166.763	38.866.586
10.503.062	55.166.763	36.386.202
10.503.219	55.166.763	39.737.393
10.503.376	55.166.763	40.172.410
10.503.533	55.166.763	39.755.624
10.503.690	55.166.763	37.513.961
10.499.453	55.166.853	24.807.548
10.499.610	55.166.853	23.095.352
10.499.766	55.166.853	23.561.584
10.499.923	55.166.853	26.064.461
10.501.650	55.166.853	39.518.694
10.501.807	55.166.853	39.683.155
10.501.964	55.166.853	44.423.707
10.502.120	55.166.853	39.241.258
10.502.277	55.166.853	39.073.238
10.502.434	55.166.853	38.242.192
10.502.591	55.166.853	37.115.057
10.502.748	55.166.853	36.765.448
10.502.905	55.166.853	36.846.715
10.503.062	55.166.853	37.307.158
10.503.219	55.166.853	37.992.986
10.503.376	55.166.853	38.224.042
10.503.533	55.166.853	39.343.814
10.503.690	55.166.853	38.785.984
10.503.847	55.166.853	35.830.994
10.499.453	55.166.943	24.351.109
10.499.610	55.166.943	23.353.223
10.499.766	55.166.943	21.854.158
10.499.923	55.166.943	24.811.593
10.500.080	55.166.943	30.018.218
10.500.237	55.166.943	31.525.801
10.500.394	55.166.943	32.103.782
10.501.336	55.166.943	37.182.642
10.501.493	55.166.943	41.652.544
10.501.650	55.166.943	40.286.310
10.501.807	55.166.943	38.946.614
10.501.964	55.166.943	39.311.490
10.502.120	55.166.943	38.588.994
10.502.277	55.166.943	38.284.780
10.502.434	55.166.943	39.315.059
10.502.591	55.166.943	38.150.817
10.502.748	55.166.943	36.798.811
10.502.905	55.166.943	36.156.782
10.503.062	55.166.943	36.316.423
10.503.219	55.166.943	37.062.150
10.503.376	55.166.943	36.861.645
10.503.533	55.166.943	36.566.039
10.503.690	55.166.943	37.147.345
10.503.847	55.166.943	35.984.155
10.504.004	55.166.943	32.720.097
10.499.296	55.167.033	24.537.542
10.499.453	55.167.033	23.962.901
10.499.610	55.167.033	20.622.258
10.499.766	55.167.033	23.112.709
10.499.923	55.167.033	26.738.801
10.500.080	55.167.033	29.917.876
10.500.237	55.167.033	34.153.368
10.500.394	55.167.033	33.869.421
10.500.551	55.167.033	36.024.533
10.500.708	55.167.033	35.660.542
10.500.865	55.167.033	34.334.569
10.501.022	55.167.033	34.867.374
10.501.179	55.167.033	37.533.428
10.501.336	55.167.033	44.805.439
10.501.493	55.167.033	40.180.358
10.501.650	55.167.033	39.461.824
10.501.807	55.167.033	38.643.651
10.501.964	55.167.033	38.172.000
10.502.120	55.167.033	38.239.230
10.502.277	55.167.033	37.999.754
10.502.434	55.167.033	37.156.936
10.502.591	55.167.033	36.824.672
10.502.748	55.167.033	36.536.019
10.502.905	55.167.033	36.103.352
10.503.062	55.167.033	34.665.520
10.503.219	55.167.033	34.075.231
10.503.376	55.167.033	34.551.021
10.503.533	55.167.033	35.428.643
10.503.690	55.167.033	36.287.976
10.503.847	55.167.033	36.767.900
10.504.004	55.167.033	36.563.532
10.504.161	55.167.033	33.648.777
10.499.139	55.167.122	24.375.679
10.499.296	55.167.122	22.826.818
10.499.453	55.167.122	22.973.876
10.499.610	55.167.122	22.760.668
10.499.766	55.167.122	22.959.235
10.499.923	55.167.122	29.348.281
10.500.080	55.167.122	29.420.859
10.500.237	55.167.122	31.051.361
10.500.394	55.167.122	32.971.079
10.500.551	55.167.122	35.486.710
10.500.708	55.167.122	39.072.260
10.500.865	55.167.122	33.270.132
10.501.022	55.167.122	33.112.513
10.501.179	55.167.122	36.057.531
10.501.336	55.167.122	39.918.696
10.501.493	55.167.122	41.187.897
10.501.650	55.167.122	43.630.328
10.501.807	55.167.122	41.345.635
10.501.964	55.167.122	38.935.684
10.502.120	55.167.122	38.123.045
10.502.277	55.167.122	37.862.380
10.502.434	55.167.122	37.580.148
10.502.591	55.167.122	37.470.858
10.502.748	55.167.122	36.332.945
10.502.905	55.167.122	35.794.731
10.503.062	55.167.122	34.039.105
10.503.219	55.167.122	33.019.897
10.503.376	55.167.122	32.382.752
10.503.533	55.167.122	34.962.648
10.503.690	55.167.122	34.897.309
10.503.847	55.167.122	34.501.523
10.504.004	55.167.122	34.055.743
10.504.161	55.167.122	33.766.823
10.504.317	55.167.122	33.095.775
10.499.139	55.167.212	24.342.181
10.499.296	55.167.212	23.071.020
10.499.453	55.167.212	21.765.787
10.499.610	55.167.212	16.032.467
10.499.766	55.167.212	24.286.561
10.499.923	55.167.212	27.309.040
10.500.080	55.167.212	28.930.141
10.500.237	55.167.212	31.497.734
10.500.394	55.167.212	36.074.878
10.500.551	55.167.212	35.852.649
10.500.708	55.167.212	34.199.852
10.500.865	55.167.212	33.142.984
10.501.022	55.167.212	33.357.366
10.501.179	55.167.212	35.089.385
10.501.336	55.167.212	35.637.617
10.501.493	55.167.212	38.428.409
10.501.650	55.167.212	38.726.005
10.501.807	55.167.212	39.575.233
10.501.964	55.167.212	40.891.877
10.502.120	55.167.212	39.497.814
10.502.277	55.167.212	37.989.325
10.502.434	55.167.212	37.340.552
10.502.591	55.167.212	36.936.966
10.502.748	55.167.212	36.231.973
10.502.905	55.167.212	35.203.755
10.503.062	55.167.212	33.513.584
10.503.219	55.167.212	31.871.285
10.503.376	55.167.212	33.240.470
10.503.533	55.167.212	34.067.608
10.503.690	55.167.212	34.331.862
10.503.847	55.167.212	34.869.552
10.504.004	55.167.212	33.171.775
10.504.161	55.167.212	32.464.247
10.504.317	55.167.212	34.212.890
10.498.982	55.167.302	25.696.352
10.499.139	55.167.302	24.586.321
10.499.296	55.167.302	20.617.689
10.499.453	55.167.302	19.829.228
10.499.610	55.167.302	22.833.519
10.499.766	55.167.302	25.546.841
10.499.923	55.167.302	26.779.281
10.500.080	55.167.302	28.286.437
10.500.237	55.167.302	32.634.971
10.500.394	55.167.302	32.510.140
10.500.551	55.167.302	32.613.732
10.500.708	55.167.302	32.637.607
10.500.865	55.167.302	33.886.470
10.501.022	55.167.302	33.413.464
10.501.179	55.167.302	33.705.208
10.501.336	55.167.302	34.948.407
10.501.493	55.167.302	37.062.768
10.501.650	55.167.302	38.932.060
10.501.807	55.167.302	42.577.026
10.501.964	55.167.302	38.290.402
10.502.120	55.167.302	37.249.679
10.502.277	55.167.302	37.091.289
10.502.434	55.167.302	37.655.373
10.502.591	55.167.302	40.602.780
10.502.748	55.167.302	38.065.478
10.502.905	55.167.302	35.859.260
10.503.062	55.167.302	34.085.614
10.503.219	55.167.302	33.046.308
10.503.376	55.167.302	32.762.843
10.503.533	55.167.302	33.323.914
10.503.690	55.167.302	33.898.561
10.503.847	55.167.302	31.275.597
10.504.004	55.167.302	31.796.954
10.504.161	55.167.302	32.707.853
10.504.317	55.167.302	36.322.663
10.504.474	55.167.302	33.284.891
10.498.825	55.167.392	26.581.578
10.498.982	55.167.392	28.910.424
10.499.139	55.167.392	25.570.061
10.499.296	55.167.392	22.724.384
10.499.453	55.167.392	21.730.988
10.499.610	55.167.392	20.942.649
10.499.766	55.167.392	27.524.083
10.499.923	55.167.392	29.075.013
10.500.080	55.167.392	29.652.118
10.500.237	55.167.392	31.561.384
10.500.394	55.167.392	31.908.241
10.500.551	55.167.392	26.786.083
10.500.708	55.167.392	30.369.859
10.500.865	55.167.392	31.120.294
10.501.022	55.167.392	31.651.005
10.501.179	55.167.392	32.137.568
10.501.336	55.167.392	35.177.829
10.501.493	55.167.392	35.909.366
10.501.650	55.167.392	36.846.758
10.501.807	55.167.392	37.329.018
10.501.964	55.167.392	37.557.261
10.502.120	55.167.392	37.216.519
10.502.277	55.167.392	38.216.365
10.502.434	55.167.392	37.158.682
10.502.591	55.167.392	36.201.644
10.502.748	55.167.392	35.986.960
10.502.905	55.167.392	35.654.530
10.503.062	55.167.392	34.397.788
10.503.219	55.167.392	33.226.638
10.503.376	55.167.392	30.217.746
10.503.533	55.167.392	30.047.301
10.503.690	55.167.392	30.827.394
10.503.847	55.167.392	31.082.799
10.504.004	55.167.392	31.222.484
10.504.161	55.167.392	32.406.622
10.504.317	55.167.392	32.500.908
10.504.474	55.167.392	33.660.735
10.498.825	55.167.482	26.571.567
10.498.982	55.167.482	29.769.667
10.499.139	55.167.482	23.982.325
10.499.296	55.167.482	18.589.252
10.499.453	55.167.482	21.537.074
10.499.610	55.167.482	25.264.134
10.499.766	55.167.482	27.741.953
10.499.923	55.167.482	29.412.156
10.500.080	55.167.482	29.935.327
10.500.237	55.167.482	35.455.883
10.500.394	55.167.482	32.151.589
10.500.551	55.167.482	28.590.308
10.500.708	55.167.482	29.025.196
10.500.865	55.167.482	30.057.996
10.501.022	55.167.482	25.611.378
10.501.179	55.167.482	28.677.932
10.501.336	55.167.482	30.178.913
10.501.493	55.167.482	33.414.472
10.501.650	55.167.482	36.922.627
10.501.807	55.167.482	38.945.046
10.501.964	55.167.482	39.802.168
10.502.120	55.167.482	36.911.617
10.502.277	55.167.482	37.125.298
10.502.434	55.167.482	36.814.342
10.502.591	55.167.482	37.055.370
10.502.748	55.167.482	35.719.246
10.502.905	55.167.482	33.892.211
10.503.062	55.167.482	33.195.985
10.503.219	55.167.482	31.960.746
10.503.376	55.167.482	29.172.439
10.503.533	55.167.482	25.122.065
10.503.690	55.167.482	25.934.003
10.503.847	55.167.482	29.993.034
10.504.004	55.167.482	29.991.964
10.504.161	55.167.482	30.347.733
10.504.317	55.167.482	31.297.160
10.504.474	55.167.482	32.934.379
10.504.631	55.167.482	30.638.700
10.498.668	55.167.572	22.920.114
10.498.825	55.167.572	23.410.787
10.498.982	55.167.572	16.858.202
10.499.139	55.167.572	19.649.281
10.499.296	55.167.572	23.265.217
10.499.453	55.167.572	24.852.175
10.499.610	55.167.572	26.311.207
10.499.766	55.167.572	30.669.956
10.499.923	55.167.572	32.223.527
10.500.080	55.167.572	31.576.358
10.500.237	55.167.572	30.973.187
10.500.394	55.167.572	29.974.573
10.500.551	55.167.572	26.594.881
10.500.708	55.167.572	17.473.694
10.500.865	55.167.572	24.342.665
10.501.022	55.167.572	29.134.838
10.501.179	55.167.572	30.758.538
10.501.336	55.167.572	31.153.179
10.501.493	55.167.572	32.888.311
10.501.650	55.167.572	36.745.241
10.501.807	55.167.572	37.102.519
10.501.964	55.167.572	36.348.971
10.502.120	55.167.572	36.618.569
10.502.277	55.167.572	39.394.740
10.502.434	55.167.572	39.411.073
10.502.591	55.167.572	35.525.842
10.502.748	55.167.572	34.609.271
10.502.905	55.167.572	33.501.676
10.503.062	55.167.572	33.023.106
10.503.219	55.167.572	30.759.936
10.503.376	55.167.572	31.128.717
10.503.533	55.167.572	30.027.817
10.503.690	55.167.572	29.328.177
10.503.847	55.167.572	29.441.417
10.504.004	55.167.572	27.585.031
10.504.161	55.167.572	25.885.620
10.504.317	55.167.572	27.681.592
10.504.474	55.167.572	27.177.514
10.504.631	55.167.572	25.480.211
10.498.511	55.167.661	21.420.380
10.498.668	55.167.661	21.706.064
10.498.825	55.167.661	20.635.638
10.498.982	55.167.661	21.605.303
10.499.139	55.167.661	21.527.536
10.499.296	55.167.661	24.056.985
10.499.453	55.167.661	27.646.851
10.499.610	55.167.661	28.897.239
10.499.766	55.167.661	29.689.057
10.499.923	55.167.661	30.956.734
10.500.080	55.167.661	32.216.165
10.500.237	55.167.661	31.549.229
10.500.394	55.167.661	29.247.431
10.500.551	55.167.661	29.070.165
10.500.708	55.167.661	28.671.515
10.500.865	55.167.661	28.724.306
10.501.022	55.167.661	29.876.530
10.501.179	55.167.661	34.728.959
10.501.336	55.167.661	34.769.144
10.501.493	55.167.661	34.434.767
10.501.650	55.167.661	34.703.191
